检验,内容,预测,估计,SE,原始p,N,Holm调整p,方向正确,前趋势未通过,判定
T0,2017 年前深度效应 β_PRE,> 0,0.01626599857549309,0.009478777156728175,0.08615399128894258,399838,0.25846197386682773,True,False,不显著
T1,时代减弱 β_POST − β_PRE,< 0,-0.007905908564464133,0.00650036593383483,0.22389916377337704,399838,0.4477983275467541,True,True,不显著
T2,跨侧减弱 − 同侧减弱,< 0,0.0046027553165250154,0.010619970013978868,0.6647200754268099,399838,0.6647200754268099,False,False,不显著
