检验,预测方向,估计,原始p,方向正确,待生效系数,待生效p,区域年份FE估计,区域年份FE_p
B2-G,γ1−γ3>0（约束力）,0.015274411676118153,0.004843260288828866,True,0.0008972506922476117,0.6429950662981796,0.006752840172082182,0.2116260018652365
B2-B,δ1−δ3>0（约束力）,0.023440536523022564,0.2647929445478099,True,0.021700084453040214,0.0072364858619176076,,
