检验,统计量,预测,估计,SE,原始p,N,区域年份FE估计,区域年份FE_p,Holm调整p,判定
M1,gS_noCN,> 0,0.6390804287056298,0.1638678676950278,9.805913923610632e-05,3565,0.2982522029005687,0.03252973997583353,9.805913923610632e-05,稳健支持
M2,gS_noTOP,> 0,0.935567322594812,0.21401506023869524,1.2708276070805269e-05,3565,0.5113632726564441,0.019599973466448928,2.5416552141610538e-05,稳健支持
