number,standards,investments,services,procurement,competition,iprs,source,base
243+1,1.0,1.0,0.0,0.0,1.0,0.0,WB,243
244,0.7586206896551724,0.0,0.0,0.0,0.0,0.0,DESTA,244
247,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,247
248,0.9222222222222223,0.9222222222222223,0.9222222222222223,0.9222222222222223,0.0,0.9222222222222223,DESTA,248
249,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,249
25,0.0,0.7586206896551724,0.0,0.0,0.7586206896551724,0.0,DESTA,25
250a,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,249
251,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,251
252,0.8230088495575221,0.8230088495575221,0.0,0.0,0.0,0.0,DESTA,252
254,0.5079365079365079,0.5079365079365079,0.5079365079365079,0.5079365079365079,0.5079365079365079,0.5079365079365079,DESTA,254
254+1,0.5079365079365079,0.5079365079365079,0.5079365079365079,0.5079365079365079,0.5079365079365079,0.5079365079365079,DESTA,254
254+2,0.5079365079365079,0.5079365079365079,0.5079365079365079,0.5079365079365079,0.5079365079365079,0.5079365079365079,DESTA,254
255,0.8230088495575221,0.8230088495575221,0.8230088495575221,0.0,0.0,0.8230088495575221,DESTA,255
256,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,256
257,0.5079365079365079,0.5079365079365079,0.0,0.0,0.0,0.0,DESTA,257
258,0.5079365079365079,0.0,0.0,0.0,0.0,0.5079365079365079,DESTA,258
259,0.5079365079365079,0.0,0.0,0.0,0.0,0.5079365079365079,DESTA,259
26,0.0,0.7586206896551724,0.0,0.0,0.7586206896551724,0.0,DESTA,26
260,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,260
261,0.5079365079365079,0.5079365079365079,0.0,0.0,0.0,0.0,DESTA,261
262,0.7586206896551724,0.0,0.0,0.0,0.0,0.0,DESTA,262
263,0.5079365079365079,0.5079365079365079,0.0,0.5079365079365079,0.0,0.0,DESTA,263
265,0.5079365079365079,0.5079365079365079,0.0,0.0,0.0,0.0,DESTA,265
266,0.7586206896551724,0.7586206896551724,0.0,0.0,0.0,0.0,DESTA,266
267,0.7586206896551724,0.0,0.0,0.0,0.0,0.0,DESTA,267
269a,1.0,0.0,0.0,0.0,0.0,0.0,WB,268
270,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,270
271,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,271
272,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,272
273,0.5079365079365079,0.5079365079365079,0.0,0.0,0.0,0.0,DESTA,273
275,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,275
277,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,DESTA,277
278,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,278
278+1,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,278
278+2,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,278
279,0.5079365079365079,0.5079365079365079,0.0,0.0,0.0,0.5079365079365079,DESTA,279
27a,0.0,0.0,0.0,0.0,1.0,0.0,WB,26
28,0.0,0.0,0.0,0.0,0.0,0.0,WB,28
28+1,0.0,0.0,0.0,0.0,0.0,0.0,WB-母协定,28
28+2,0.0,0.0,0.0,0.0,0.0,0.0,WB-母协定,28
28+3,0.0,0.0,0.0,0.0,0.0,0.0,WB-母协定,28
28+4,0.0,0.0,0.0,0.0,0.0,0.0,WB-母协定,28
280,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.0,0.7586206896551724,0.0,DESTA,280
280+1,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.0,0.7586206896551724,0.0,DESTA,280
282,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,282
283,0.8230088495575221,0.0,0.0,0.0,0.0,0.0,DESTA,283
284,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,284
285,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,285
286,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,286
287,0.8230088495575221,0.0,0.8230088495575221,0.8230088495575221,0.8230088495575221,0.8230088495575221,DESTA,287
288,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,288
289,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,289
29,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,29
290,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,290
291,0.7586206896551724,0.0,0.0,0.0,0.0,0.0,DESTA,291
292,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,292
293,1.0,1.0,1.0,0.0,1.0,1.0,WB,293
293+1,1.0,1.0,1.0,1.0,1.0,1.0,WB,293
293+2,1.0,1.0,1.0,1.0,1.0,1.0,WB,293
293+3,1.0,1.0,1.0,1.0,1.0,1.0,WB,293
3,0.7586206896551724,0.0,0.0,0.0,0.0,0.0,DESTA,3
30,0.0,0.0,0.7586206896551724,0.0,0.0,0.0,DESTA,30
300,0.0,1.0,0.0,1.0,1.0,1.0,WB,300
302,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,302
302+1,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,302
302+2,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,302
302+3,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,302
303,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,303
304,0.8230088495575221,0.8230088495575221,0.8230088495575221,0.0,0.8230088495575221,0.0,DESTA,304
304+1,0.8230088495575221,0.8230088495575221,0.8230088495575221,0.0,0.8230088495575221,0.0,DESTA,304
304+2,0.8230088495575221,0.8230088495575221,0.8230088495575221,0.0,0.8230088495575221,0.0,DESTA,304
304+3,0.8230088495575221,0.8230088495575221,0.8230088495575221,0.0,0.8230088495575221,0.0,DESTA,304
305,0.7586206896551724,0.0,0.0,0.0,0.7586206896551724,0.0,DESTA,305
306,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.0,0.7586206896551724,0.7586206896551724,DESTA,306
307,0.0,0.0,0.0,0.0,1.0,0.0,WB,307
307+1,0.0,0.0,0.0,0.0,1.0,0.0,WB-母协定,307
307+2,0.0,0.0,0.0,0.0,1.0,0.0,WB-母协定,307
307+3,0.0,0.0,0.0,0.0,1.0,0.0,WB-母协定,307
308,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,308
308+1,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,308
309,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,309
309+1,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,309
31,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,31
310a,0.7586206896551724,0.0,0.0,0.0,0.7586206896551724,0.0,DESTA,311
311,0.0,0.0,0.0,0.0,0.7586206896551724,0.0,DESTA,311
312,0.8230088495575221,0.8230088495575221,0.8230088495575221,0.8230088495575221,0.8230088495575221,0.0,DESTA,312
312+1,0.8230088495575221,0.8230088495575221,0.8230088495575221,0.8230088495575221,0.8230088495575221,0.0,DESTA,312
313,0.0,0.0,0.0,0.0,0.0,0.0,WB,313
313+1,0.0,0.0,0.0,0.0,0.0,0.0,WB-母协定,313
314,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,314
315,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,315
315+1,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,315
315+2,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,315
316,0.0,1.0,0.0,1.0,1.0,1.0,WB,316
316+1,0.0,1.0,0.0,1.0,1.0,1.0,WB-母协定,316
316+2,0.0,1.0,0.0,1.0,1.0,1.0,WB-母协定,316
316+3,0.0,1.0,0.0,1.0,1.0,1.0,WB-母协定,316
317,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,317
317+1,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,317
317+2,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,317
318,0.0,1.0,0.0,0.0,1.0,1.0,WB,318
318+1,0.0,1.0,0.0,0.0,1.0,1.0,WB-母协定,318
318+2,0.0,1.0,0.0,0.0,1.0,1.0,WB-母协定,318
318+3,0.0,1.0,0.0,0.0,1.0,1.0,WB-母协定,318
319,0.8230088495575221,0.0,0.0,0.0,0.8230088495575221,0.0,DESTA,319
32,0.0,0.0,0.0,0.5079365079365079,0.0,0.0,DESTA,32
320,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.0,DESTA,320
321,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,321
322,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,322
322+1,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,322
322+2,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,322
323,0.8230088495575221,0.0,0.8230088495575221,0.0,0.8230088495575221,0.0,DESTA,323
323+1,0.8230088495575221,0.0,0.8230088495575221,0.0,0.8230088495575221,0.0,DESTA,323
323+2,0.8230088495575221,0.0,0.8230088495575221,0.0,0.8230088495575221,0.0,DESTA,323
323+3,0.8230088495575221,0.0,0.8230088495575221,0.0,0.8230088495575221,0.0,DESTA,323
324,1.0,1.0,1.0,1.0,1.0,1.0,WB,324
324+1,1.0,1.0,1.0,1.0,1.0,1.0,WB,324
325,0.8230088495575221,0.0,0.0,0.0,0.8230088495575221,0.0,DESTA,325
326,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.7586206896551724,DESTA,326
327,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.0,0.7586206896551724,0.0,DESTA,327
327+1,1.0,1.0,1.0,1.0,1.0,1.0,WB,327
328,0.5079365079365079,0.5079365079365079,0.5079365079365079,0.5079365079365079,0.0,0.5079365079365079,DESTA,328
328+1,0.5079365079365079,0.5079365079365079,0.5079365079365079,0.5079365079365079,0.0,0.5079365079365079,DESTA,328
