number,standards,investments,services,procurement,competition,iprs,source,base
428,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,428
429,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,429
43,1.0,0.0,0.0,0.0,0.0,0.0,WB,43
430,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,430
431,0.5079365079365079,0.0,0.0,0.0,0.0,0.5079365079365079,DESTA,431
432,0.5079365079365079,0.5079365079365079,0.0,0.0,0.0,0.5079365079365079,DESTA,432
433,0.0,0.0,0.0,0.0,0.0,0.5079365079365079,DESTA,433
434,0.0,0.0,0.7586206896551724,0.0,0.0,0.0,DESTA,434
435,0.0,0.0,0.0,0.0,0.0,0.0,WB,435
436,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,436
437,1.0,1.0,1.0,1.0,1.0,1.0,WB,437
437+1,1.0,1.0,1.0,1.0,1.0,1.0,WB-母协定,437
437+2,1.0,1.0,1.0,1.0,1.0,1.0,WB-母协定,437
437+31,1.0,1.0,1.0,1.0,1.0,1.0,WB-母协定,437
437+32,1.0,1.0,1.0,1.0,1.0,1.0,WB-母协定,437
438,0.5079365079365079,0.0,0.0,0.5079365079365079,0.0,0.0,DESTA,438
439,1.0,1.0,1.0,0.0,1.0,0.0,WB,439
440,0.0,1.0,0.0,1.0,1.0,0.0,WB,440
441,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,441
443,0.0,0.0,0.0,0.0,0.0,0.0,WB,443
445,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,445
446,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,446
447,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,447
448,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,448
449,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,449
45,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,45
450,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,450
452,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,452
453,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,453
454,0.0,0.0,0.0,0.0,1.0,0.0,WB,454
455,0.0,0.0,0.0,0.0,1.0,0.0,WB,455
456,1.0,0.0,0.0,0.0,1.0,1.0,WB,456
457,0.0,0.0,0.0,0.0,1.0,0.0,WB,457
458,0.0,0.0,0.0,0.0,1.0,0.0,WB,458
459,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,459
46,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,46
460,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,460
461,0.0,0.0,0.0,0.0,0.0,0.0,WB,461
462,0.0,0.0,0.0,0.0,0.0,0.0,WB,462
463,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,463
464,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,464
465a,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,464
466,1.0,0.0,0.0,0.0,1.0,1.0,WB,466
468,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,468
469,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,469
47,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,47
470,1.0,1.0,1.0,0.0,1.0,1.0,WB,470
471,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,471
473,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,473
474,1.0,1.0,0.0,0.0,0.0,1.0,WB,474
475,0.8773388773388774,0.0,0.8773388773388774,0.8773388773388774,0.0,0.0,DESTA,475
476,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,476
478,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,478
48,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,48
480,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,480
481,0.5079365079365079,0.0,0.0,0.5079365079365079,0.0,0.0,DESTA,481
482,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,482
483,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,483
487,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,487
488,0.5079365079365079,0.0,0.0,0.0,0.0,0.5079365079365079,DESTA,488
489,1.0,1.0,1.0,0.0,1.0,1.0,WB,489
49,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,49
490,1.0,0.0,0.0,0.0,1.0,0.0,WB,490
491,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,491
492,0.0,0.0,0.0,0.0,0.0,0.0,WB,492
493,1.0,1.0,1.0,0.0,1.0,0.0,WB,493
494,0.0,0.0,0.0,0.0,1.0,0.0,WB,494
495,0.0,1.0,1.0,1.0,1.0,1.0,WB,495
496,0.0,0.5079365079365079,0.0,0.0,0.0,0.0,DESTA,496
497,0.7586206896551724,0.0,0.0,0.0,0.0,0.0,DESTA,497
498,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,498
5,0.5079365079365079,0.5079365079365079,0.0,0.0,0.0,0.5079365079365079,DESTA,5
50,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,50
505,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,505
506,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,506
507a,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,506
508,0.8230088495575221,0.0,0.0,0.0,0.0,0.0,DESTA,508
509,0.0,0.0,0.0,1.0,0.0,0.0,WB,509
51,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,51
510,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,DESTA,510
511,0.7586206896551724,0.0,0.0,0.0,0.0,0.0,DESTA,511
512,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,512
513,0.7586206896551724,0.0,0.0,0.0,0.0,0.0,DESTA,513
514,0.7586206896551724,0.0,0.0,0.0,0.0,0.0,DESTA,514
515,0.0,1.0,1.0,0.0,1.0,0.0,WB,515
516,1.0,1.0,0.0,1.0,1.0,1.0,WB,516
517,1.0,1.0,1.0,0.0,0.0,1.0,WB,517
518,0.0,1.0,1.0,1.0,0.0,1.0,WB,518
519,0.0,1.0,1.0,0.0,1.0,1.0,WB,519
52,0.0,0.0,0.0,0.0,1.0,0.0,WB,52
520,1.0,1.0,1.0,0.0,1.0,1.0,WB,520
521,0.0,1.0,1.0,0.0,1.0,1.0,WB,521
522,0.0,1.0,1.0,1.0,0.0,1.0,WB,522
523,0.0,1.0,1.0,0.0,1.0,1.0,WB,523
524,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,524
526,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,526
527,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,527
529,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,529
53,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,53
530,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,530
534,0.0,1.0,1.0,0.0,1.0,1.0,WB,534
535,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,535
537,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,537
54,0.0,0.0,0.0,0.0,1.0,0.0,WB,54
540,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,540
541,1.0,0.0,0.0,0.0,1.0,0.0,WB,541
542,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,542
543,0.0,0.0,1.0,0.0,0.0,1.0,WB,543
544,0.0,0.0,0.0,0.0,1.0,0.0,WB,544
545,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,545
546,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,546
547,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,547
548,0.0,0.0,0.0,0.0,1.0,0.0,WB,548
549,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,549
55,0.0,0.0,0.0,0.0,1.0,0.0,WB,55
550,1.0,1.0,1.0,1.0,0.0,1.0,WB,550
551,1.0,1.0,1.0,1.0,1.0,1.0,WB,551
552,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,552
553,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,553
555,0.0,0.0,0.0,0.0,1.0,0.0,WB,555
556,0.0,0.0,0.0,0.0,1.0,0.0,WB,556
558,0.0,0.0,0.0,0.0,1.0,0.0,WB,558
559,0.0,0.0,0.0,0.0,1.0,0.0,WB,559
56,0.0,0.0,0.0,0.0,1.0,0.0,WB,56
560,0.0,0.0,0.0,0.0,0.0,0.0,WB,560
561,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,561
562,0.0,0.0,0.0,0.0,0.0,0.0,WB,562
562+1,0.0,0.0,0.0,0.0,0.0,0.0,WB,562
562+2,0.0,0.0,0.0,0.0,0.0,0.0,WB-母协定,562
564,0.5079365079365079,0.5079365079365079,0.0,0.0,0.0,0.0,DESTA,564
565,0.5079365079365079,0.5079365079365079,0.0,0.0,0.0,0.5079365079365079,DESTA,565
566,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,566
567,0.5079365079365079,0.5079365079365079,0.0,0.0,0.0,0.5079365079365079,DESTA,567
568,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,568
569,0.5079365079365079,0.5079365079365079,0.0,0.0,0.0,0.5079365079365079,DESTA,569
57,0.0,0.0,0.0,0.0,1.0,0.0,WB,57
570,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,570
574,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,574
576,0.5079365079365079,0.5079365079365079,0.0,0.0,0.0,0.0,DESTA,576
577,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,DESTA,577
578,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,578
579,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,DESTA,579
58,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,58
580,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,580
581,0.5079365079365079,0.0,0.0,0.0,0.0,0.5079365079365079,DESTA,581
582,0.5079365079365079,0.5079365079365079,0.0,0.0,0.0,0.0,DESTA,582
588,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,588
589,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,589
59,0.0,0.0,0.0,0.0,1.0,0.0,WB,59
590,0.5079365079365079,0.5079365079365079,0.0,0.0,0.0,0.0,DESTA,590
592,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,592
593,1.0,0.0,0.0,1.0,1.0,0.0,WB,593
594,0.0,0.0,0.0,1.0,1.0,1.0,WB,594
595,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,595
598,1.0,1.0,1.0,0.0,1.0,1.0,WB,598
599,1.0,1.0,1.0,0.0,1.0,1.0,WB,599
6,0.5079365079365079,0.5079365079365079,0.0,0.0,0.0,0.5079365079365079,DESTA,6
60,0.0,0.0,0.0,0.0,1.0,0.0,WB,60
600,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,600
600+1,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,600
600+2,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,600
601,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,601
602,0.0,0.0,0.0,0.0,1.0,0.0,WB,602
603,0.0,0.0,0.0,0.0,0.0,0.0,WB,603
604,1.0,1.0,1.0,1.0,1.0,1.0,WB,604
604+1,1.0,1.0,1.0,1.0,1.0,1.0,WB-母协定,604
604+2,1.0,1.0,1.0,1.0,1.0,1.0,WB-母协定,604
605,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,605
606,0.9222222222222223,0.9222222222222223,0.0,0.0,0.9222222222222223,0.0,DESTA,606
607a,1.0,1.0,1.0,1.0,1.0,1.0,WB-母协定,604
608,0.9222222222222223,0.0,0.0,0.0,0.0,0.0,DESTA,608
608+1,0.9222222222222223,0.0,0.0,0.0,0.0,0.0,DESTA,608
61,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.0,0.0,0.0,DESTA,61
610,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,610
611,0.9222222222222223,0.9222222222222223,0.9222222222222223,0.9222222222222223,0.0,0.9222222222222223,DESTA,611
612,0.8773388773388774,0.8773388773388774,0.8773388773388774,0.0,0.0,0.8773388773388774,DESTA,612
613,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,613
615,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,615
616,1.0,1.0,1.0,0.0,1.0,1.0,WB,616
617,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,617
618,0.0,0.0,0.0,0.0,1.0,0.0,WB,618
619,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,619
62,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,62
62+1,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,62
620,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,620
621,0.0,0.0,0.0,1.0,1.0,1.0,WB,621
622,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,622
623,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,623
624,1.0,1.0,0.0,1.0,1.0,1.0,WB,624
625,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,625
626,1.0,0.0,0.0,1.0,1.0,1.0,WB,626
627,0.0,0.0,0.0,0.0,0.0,0.0,WB,627
628,1.0,1.0,1.0,1.0,1.0,1.0,WB,628
629,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,629
63,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,63
630,0.0,0.0,1.0,0.0,0.0,0.0,WB,630
631,1.0,1.0,1.0,1.0,1.0,1.0,WB,631
632,1.0,1.0,0.0,0.0,1.0,1.0,WB,632
633,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,633
634,1.0,1.0,1.0,0.0,1.0,1.0,WB,634
635,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,635
636,1.0,1.0,1.0,1.0,1.0,1.0,WB,636
637,1.0,1.0,1.0,1.0,1.0,1.0,WB,637
638,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,638
639,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,639
64,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,64
640,0.0,0.0,0.0,0.0,1.0,0.0,WB,640
641,0.0,1.0,1.0,1.0,1.0,0.0,WB,641
642,1.0,1.0,1.0,0.0,1.0,1.0,WB,642
643,1.0,1.0,1.0,1.0,1.0,1.0,WB,643
644,1.0,1.0,1.0,1.0,1.0,1.0,WB,644
645,1.0,1.0,1.0,1.0,1.0,1.0,WB,645
646,0.7586206896551724,0.7586206896551724,0.0,0.0,0.0,0.0,DESTA,646
647,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,647
648,0.5079365079365079,0.5079365079365079,0.0,0.0,0.0,0.0,DESTA,648
649,0.5079365079365079,0.0,0.0,0.5079365079365079,0.0,0.0,DESTA,649
65,0.0,0.0,0.0,0.5079365079365079,0.0,0.0,DESTA,65
650,0.0,0.5079365079365079,0.0,0.0,0.0,0.5079365079365079,DESTA,650
651,1.0,0.0,0.0,0.0,0.0,1.0,WB,651
652,0.0,0.0,0.0,0.0,1.0,0.0,WB,652
653,0.0,0.0,0.0,0.0,1.0,0.0,WB,653
654,0.0,0.0,0.0,0.0,0.0,0.0,WB,654
655,0.0,0.0,0.0,0.0,1.0,0.0,WB,655
657,0.0,1.0,0.0,1.0,1.0,1.0,WB,657
658,0.0,1.0,1.0,1.0,1.0,1.0,WB,658
659,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,659
66,1.0,1.0,1.0,0.0,0.0,1.0,WB,66
660,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,660
661,0.7586206896551724,0.0,0.0,0.0,0.0,0.7586206896551724,DESTA,661
663,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,663
664,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,664
666,0.0,0.0,0.0,0.0,0.0,0.0,WB,666
667,0.0,0.0,0.0,0.0,0.0,0.0,WB,667
667+1,0.0,0.0,0.0,0.0,0.0,0.0,WB,667
668,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,668
669,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,669
67,0.0,0.0,0.0,0.0,0.0,0.0,WB,67
670,1.0,0.0,0.0,0.0,0.0,0.0,WB,670
671,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,671
672+5,1.0,0.0,0.0,0.0,1.0,0.0,WB,672
672a,1.0,0.0,1.0,0.0,0.0,1.0,WB,671
673,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,673
674,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,674
675,0.0,1.0,0.0,0.0,1.0,1.0,WB,675
676,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,676
677,0.0,0.0,0.0,0.0,1.0,0.0,WB,677
679,1.0,1.0,1.0,1.0,1.0,1.0,WB,679
680,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,680
681,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,681
682,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,682
683,1.0,0.0,0.0,0.0,1.0,1.0,WB,683
684,0.0,0.0,0.0,0.0,1.0,0.0,WB,684
686,0.0,0.0,0.0,0.0,1.0,0.0,WB,686
687,0.5079365079365079,0.5079365079365079,0.5079365079365079,0.0,0.0,0.5079365079365079,DESTA,687
688,0.5079365079365079,0.0,0.0,0.0,0.5079365079365079,0.0,DESTA,688
68a,0.0,0.0,0.0,0.0,0.0,0.0,WB-母协定,67
69,1.0,1.0,1.0,0.0,1.0,1.0,WB,69
694a,0.7586206896551724,0.0,0.7586206896551724,0.0,0.0,0.0,DESTA,23
695,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,695
7,0.5079365079365079,0.5079365079365079,0.0,0.0,0.0,0.5079365079365079,DESTA,7
70,0.7586206896551724,0.0,0.0,0.0,0.0,0.0,DESTA,70
700,0.0,0.0,0.7586206896551724,0.0,0.0,0.0,DESTA,700
705,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,705
706,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,DESTA,706
708,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,708
71,0.8773388773388774,0.8773388773388774,0.0,0.0,0.0,0.0,DESTA,71
715,0.5079365079365079,0.5079365079365079,0.0,0.0,0.0,0.0,DESTA,715
716,1.0,1.0,1.0,0.0,0.0,0.0,WB,716
72,0.8230088495575221,0.0,0.0,0.0,0.0,0.0,DESTA,72
726,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,726
732,0.5079365079365079,0.0,0.0,0.5079365079365079,0.0,0.0,DESTA,732
733,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,733
73a,0.8230088495575221,0.0,0.8230088495575221,0.0,0.0,0.0,DESTA,72
74,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,74
740,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,740
741,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,741
742,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,742
75,1.0,1.0,1.0,1.0,1.0,1.0,WB,75
760,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,760
766,0.0,0.0,0.0,0.0,0.0,0.0,WB,766
767,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,767
768,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,768
77,0.5079365079365079,0.0,0.0,0.5079365079365079,0.0,0.0,DESTA,77
770,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,770
772,0.7586206896551724,0.0,0.0,0.0,0.0,0.0,DESTA,772
780,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,780
782,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,782
783,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,783
784,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,784
787,0.7586206896551724,0.7586206896551724,0.7586206896551724,0.0,0.0,0.0,DESTA,787
787+1,1.0,1.0,0.0,0.0,1.0,0.0,WB,787
788,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,788
789,1.0,0.0,0.0,0.0,0.0,0.0,WB,789
78a,0.5079365079365079,0.0,0.5079365079365079,0.5079365079365079,0.0,0.0,DESTA,77
79,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,79
791,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,791
793,0.5079365079365079,0.0,0.0,0.5079365079365079,0.0,0.5079365079365079,DESTA,793
795,1.0,1.0,1.0,0.0,1.0,1.0,WB,795
797,0.0,1.0,1.0,1.0,1.0,1.0,WB,797
798,1.0,1.0,1.0,1.0,1.0,0.0,WB,798
799,1.0,1.0,1.0,1.0,1.0,1.0,WB,799
8,0.5079365079365079,0.5079365079365079,0.5079365079365079,0.5079365079365079,0.5079365079365079,0.5079365079365079,DESTA,8
80,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,80
800,1.0,0.0,0.0,0.0,0.0,0.0,WB,800
801,1.0,0.0,1.0,0.0,1.0,1.0,WB,801
803,1.0,0.0,0.0,0.0,1.0,0.0,WB,803
804,1.0,1.0,1.0,0.0,1.0,1.0,WB,804
805,1.0,1.0,1.0,1.0,1.0,1.0,WB,805
806,0.9222222222222223,0.9222222222222223,0.9222222222222223,0.9222222222222223,0.0,0.0,DESTA,806
808,1.0,1.0,1.0,1.0,1.0,1.0,WB,808
81,0.0,0.0,0.0,0.0,0.0,0.0,WB,81
810,1.0,1.0,1.0,1.0,1.0,1.0,WB,810
810+2,1.0,1.0,1.0,1.0,1.0,1.0,WB,810
811,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,811
813,1.0,1.0,1.0,1.0,1.0,1.0,WB,813
814,1.0,1.0,1.0,1.0,1.0,1.0,WB,814
815,1.0,1.0,1.0,1.0,1.0,1.0,WB,815
817,1.0,1.0,1.0,1.0,1.0,1.0,WB,817
818,0.0,1.0,0.0,0.0,1.0,1.0,WB,818
819,1.0,1.0,1.0,1.0,0.0,1.0,WB,819
82,1.0,1.0,1.0,0.0,1.0,1.0,WB,82
820,0.0,1.0,1.0,1.0,1.0,1.0,WB,820
821,0.0,0.0,0.0,0.0,0.0,0.0,WB,821
825,1.0,0.0,1.0,1.0,0.0,1.0,WB,825
826,0.0,1.0,1.0,1.0,0.0,1.0,WB,826
827,1.0,1.0,1.0,0.0,0.0,0.0,WB,827
829,0.0,1.0,1.0,1.0,1.0,1.0,WB,829
83,0.0,1.0,1.0,0.0,1.0,1.0,WB,83
830,1.0,1.0,1.0,1.0,1.0,1.0,WB,830
831,1.0,0.0,0.0,0.0,0.0,1.0,WB,831
832,1.0,1.0,0.0,0.0,0.0,1.0,WB,832
833,1.0,1.0,1.0,0.0,1.0,0.0,WB,833
834,1.0,1.0,1.0,1.0,1.0,1.0,WB,834
836,0.8773388773388774,0.8773388773388774,0.8773388773388774,0.8773388773388774,0.0,0.8773388773388774,DESTA,836
837,1.0,1.0,1.0,1.0,1.0,1.0,WB,837
84,1.0,1.0,1.0,1.0,1.0,1.0,WB,84
840,0.0,1.0,1.0,0.0,1.0,1.0,WB,840
842,0.0,1.0,0.0,1.0,1.0,1.0,WB,842
844,1.0,0.0,0.0,0.0,1.0,1.0,WB,844
848,1.0,1.0,1.0,1.0,1.0,1.0,WB,848
85,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,85
85+1,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,85
852,1.0,1.0,1.0,1.0,1.0,1.0,WB,852
855,1.0,0.0,0.0,1.0,1.0,0.0,WB,855
858,1.0,0.0,1.0,1.0,1.0,0.0,WB,858
86,0.0,0.0,0.0,0.0,1.0,0.0,WB,86
862,1.0,1.0,1.0,0.0,1.0,1.0,WB,862
864,1.0,1.0,1.0,1.0,1.0,1.0,WB,864
866,1.0,1.0,1.0,1.0,1.0,1.0,WB,866
867,1.0,1.0,1.0,1.0,1.0,1.0,WB,867
869,1.0,1.0,1.0,1.0,1.0,1.0,WB,869
87,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,87
872,1.0,1.0,1.0,1.0,1.0,1.0,WB,872
874,0.8230088495575221,0.8230088495575221,0.8230088495575221,0.8230088495575221,0.8230088495575221,0.8230088495575221,DESTA,874
876,1.0,1.0,1.0,1.0,1.0,1.0,WB,876
877,1.0,1.0,1.0,1.0,1.0,1.0,WB,877
89,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,89
891,1.0,1.0,1.0,0.0,1.0,1.0,WB,891
895,0.8773388773388774,0.8773388773388774,0.8773388773388774,0.0,0.0,0.0,DESTA,895
9,0.8230088495575221,0.8230088495575221,0.8230088495575221,0.8230088495575221,0.0,0.8230088495575221,DESTA,9
90,0.0,0.0,0.0,0.0,1.0,0.0,WB,90
901,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,901
908,0.8773388773388774,0.8773388773388774,0.8773388773388774,0.8773388773388774,0.0,0.8773388773388774,DESTA,908
909,0.0,1.0,1.0,0.0,1.0,1.0,WB,909
911,0.0,1.0,1.0,1.0,0.0,1.0,WB,911
912,1.0,1.0,1.0,1.0,0.0,1.0,WB,912
913,1.0,1.0,1.0,0.0,0.0,1.0,WB,913
914,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,914
915,1.0,1.0,1.0,0.0,1.0,1.0,WB,915
916,1.0,0.0,0.0,0.0,0.0,0.0,WB,916
919,1.0,1.0,1.0,1.0,1.0,1.0,WB,919
92,0.0,0.0,0.0,0.0,1.0,0.0,WB,92
920,1.0,0.0,0.0,0.0,0.0,0.0,WB,920
928,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,928
930,0.0,1.0,1.0,0.0,1.0,1.0,WB,930
931,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,931
933,1.0,1.0,1.0,0.0,1.0,0.0,WB,933
936,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,936
94,0.0,0.0,0.0,0.0,0.0,0.0,DESTA,94
941,0.0,1.0,1.0,0.0,0.0,0.0,WB,941
943,0.0,0.0,0.0,0.0,0.0,0.0,WB,943
948,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,948
949,0.8773388773388774,0.8773388773388774,0.8773388773388774,0.8773388773388774,0.0,0.8773388773388774,DESTA,949
955,1.0,1.0,1.0,1.0,1.0,1.0,WB,955
959,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,959
96,1.0,0.0,1.0,1.0,1.0,1.0,WB,96
961,1.0,1.0,1.0,1.0,1.0,0.0,WB,961
962,1.0,1.0,1.0,1.0,1.0,1.0,WB,962
963,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,963
965,1.0,1.0,1.0,1.0,1.0,1.0,WB,965
966,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,966
97,0.5079365079365079,0.0,0.0,0.0,0.0,0.0,DESTA,97
971,0.0,0.0,0.0,0.0,0.0,0.0,WB,971
972,1.0,1.0,1.0,1.0,1.0,1.0,WB,972
974,0.8773388773388774,0.8773388773388774,0.8773388773388774,0.0,0.8773388773388774,0.8773388773388774,DESTA,974
975,0.7586206896551724,0.7586206896551724,0.0,0.7586206896551724,0.0,0.7586206896551724,DESTA,975
976,0.5079365079365079,0.0,0.5079365079365079,0.0,0.0,0.5079365079365079,DESTA,976
978,1.0,1.0,0.0,0.0,1.0,0.0,WB,978
979,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,979
979+1,0.0,0.0,0.0,0.0,0.0,0.0,WB,979
979+2,0.0,0.0,0.0,0.0,0.0,0.0,uncoded,979
