检验,内容,预测,估计,SE,原始p,方向正确,Holm调整p,判定
H1,待生效 × 否决者,<0,0.000197447202016543,0.008156459871528765,0.9806871251193643,False,1.0,不支持
H2a,失败协定：签署后 1–3 年,>0,-0.02094317726696394,0.039597691023849434,0.5968755493238955,False,1.0,不支持
H2b,失败协定：≥4 年 − 1–3 年,<0,0.11414232229950476,0.08624786737244328,0.18569509053465483,False,0.5570852716039645,不支持
H3,等待 ≥1 年 − 等待 0 年,<0（>0 则支持临近生效解释）,0.016518000492980536,0.00960368771355775,0.08543892207730153,False,0.3417556883092061,不支持
H4,深协定 − 浅协定（每个领域）,<0,0.03134053312859089,0.01662262149612806,0.05937388545419986,False,0.2968694272709993,不支持
