检验,预测方向,估计,原始p,方向正确,区域年份FE估计,区域年份FE_p,待生效系数,待生效p,Holm调整p,判定
B2-G,γ1−γ3>0（约束力）,0.0152744116761181,0.0048432602888288,True,0.0067528401720821,0.2116260018652365,0.0008972506922476,0.6429950662981796,0.029059561732972798,支持（不稳健）
B1-L,α1−β1>0,-0.0116660400572262,0.084147579259048,False,-0.0053891592575567,0.4101819027050832,,,0.42073789629524005,不支持（方向相反）
B1-S,α2−β2<0,0.0016226355645655,0.1264986081869135,False,0.0004967332860828,0.636511578069151,,,0.505994432747654,不支持（方向相反）
B2-B,δ1−δ3>0（约束力）,0.0234405365230225,0.2647929445478099,True,,,0.0217000844530402,0.0072364858619176,0.7943788336434296,方向一致，不显著
B3a,<0,-0.0217663705593657,0.39375060382035,True,-0.0055621177586451,0.8286909651525876,,,0.7943788336434296,方向一致，不显著
B3b,<0,0.0060086983047555,0.485672483786753,False,0.0054517400548271,0.5965436044756243,,,0.7943788336434296,不支持（方向相反）
