ISO3,year,gN,gS,gCN,gS_noCN,gTOP,gS_noTOP,top,wTOP
AFG,1991,0.012391923977700607,-0.0027482271625239507,0.00038717340353833343,-0.0031354005660622843,0.003977112040983163,-0.006725339203507113,IND,0.11369765585608177
AFG,1992,0.006179734130376961,0.025746979123544192,0.0008297749734363721,0.02491720415010782,0.019781743908737208,0.005965235214806984,TWN,0.2477856293605481
AFG,1993,0.001222714291947321,0.032247847037193564,0.001046318762997395,0.03120152827419617,0.025385282534958996,0.006862564502234568,TWN,0.38506236248327863
AFG,1994,0.006050993461951783,-0.009411806216602273,0.0009369956749677859,-0.010348801891570059,0.027082462470447974,-0.036494268687050246,TWN,0.3742810702776409
AFG,1995,0.005569365223673887,0.008780666400652386,0.0053581403735152066,0.003422526027137179,-0.014276832155960152,0.023057498556612536,RUS,0.3339518701739175
AFG,1996,0.004566202731228171,0.013401528331315565,0.00764726857901463,0.0057542597523009345,-0.012637219653778509,0.026038747985094073,RUS,0.36012380616474937
AFG,1997,0.010220207891382416,0.027224729811703235,0.008340696229306402,0.018884033582396834,0.002027123245921073,0.02519760656578216,PAK,0.15000483737390558
AFG,1998,0.009418608599665533,0.010254270722463583,0.0034246786115020894,0.006829592110961494,0.00459448735742778,0.0056597833650358035,PAK,0.1734317549121896
AFG,1999,0.013524638157122126,0.024626264699543432,0.0007752607929772839,0.023851003906566148,0.00638604392965326,0.018240220769890174,PAK,0.19858885344651075
AFG,2000,0.016138603804745674,0.030631554879220445,0.000747650834629951,0.029883904044590494,0.00964688998277973,0.020984664896440713,PAK,0.22253268452113048
AFG,2001,0.004159107243630765,0.029703826034352405,0.0012884356640010678,0.02841539037035134,0.01342939708476325,0.016274428949589158,IND,0.27679789203884536
AFG,2002,0.0017664950823384482,0.032096103874272475,0.002115545579893584,0.02998055829437889,0.014520280060819131,0.017575823813453344,IND,0.386816326642934
AFG,2003,0.0006527581758957653,0.06593484923411878,0.002339973472458363,0.06359487576166042,0.037421625426545556,0.028513223807573228,IND,0.4821715606155242
AFG,2004,0.0009195311014727687,0.07413576388412202,0.002472676081636799,0.07166308780248522,0.03666265911718956,0.03747310476693246,IND,0.4886062272849291
AFG,2005,0.0008163608301138094,0.06984625707829187,0.002758709560345159,0.06708754751794671,0.03753641702822819,0.032309840050063675,IND,0.49784355452168905
AFG,2006,0.0009094656613257044,0.07114283828856761,0.003143927216788075,0.06799891107177954,0.03991079229219285,0.031232045996374767,IND,0.5123882120370921
AFG,2007,0.0009535592029411401,0.06439920950667292,0.0032873716285573497,0.061111837878115575,0.036186049917132736,0.02821315958954019,IND,0.49258342969439256
AFG,2008,0.00011039626405144171,0.03153404365198471,0.0020737916863812077,0.0294602519656035,0.014169546419007114,0.017364497232977595,IND,0.46101894966255463
AFG,2009,-0.0013876700012933794,0.032733265081605206,0.0013079049868071275,0.03142536009479808,0.02865940487085259,0.004073860210752615,IND,0.37618348690120645
AFG,2010,0.0009863748448788513,0.04419665229950774,0.0010030183634799578,0.043193633936027785,0.006613821188459584,0.037582831111048154,PAK,0.4166619862853594
AFG,2011,0.0009034551406805523,0.04034007098413009,0.001298119726222307,0.039041951257907784,0.012258620485073653,0.028081450499056436,PAK,0.4509143389949308
AFG,2012,0.00036451735115114697,0.03423957759432704,0.0013946191893444545,0.03284495840498258,0.01352524680591568,0.02071433078841136,PAK,0.4479897726003062
AFG,2013,0.0001568373279210551,0.04076500692097243,0.0015247486766334069,0.03924025824433902,0.020423898767425296,0.020341108153547133,PAK,0.509600899178369
AFG,2014,0.0004283406442171431,0.048528194341242614,0.002065213903939806,0.046462980437302806,0.02335504500972934,0.025173149331513274,PAK,0.5565469021489986
AFG,2015,0.0003298689654128131,0.045347299047888825,0.0024127301734733677,0.042934568874415456,0.02206065297334764,0.023286646074541187,PAK,0.5477655117968292
AFG,2016,0.0006876173220672762,0.06700718590698625,0.0024029765814077403,0.0646042093255785,0.02933519709395064,0.03767198881303561,PAK,0.4604068452485634
AFG,2017,0.0008597036027821335,0.048624927119105946,0.0014067968175874438,0.0472181303015185,0.020000547265155443,0.028624379853950502,PAK,0.44193666741808396
AFG,2018,0.0004047907949705226,0.05098230552518553,0.0008649468223691915,0.05011735870281634,0.024857112963557318,0.026125192561628215,PAK,0.43363788884811366
AFG,2019,0.0002880437783633077,0.030361040678174495,0.0010505518483904057,0.029310488829784088,0.011031582634564923,0.01932945804360957,PAK,0.4455306031911698
AFG,2020,-0.0009544666066102023,-0.03279966057862167,0.0006105925271000363,-0.03341025310572171,-0.025613715552001183,-0.00718594502662049,IND,0.4378696842927936
AFG,2021,0.001103861992581768,0.07470864251648547,0.0037789901335126288,0.07092965238297284,0.04318985078475125,0.03151879173173422,IND,0.46935848380508866
AFG,2022,0.0012986659793166994,0.057539411996261045,0.0017439428053332012,0.05579546919092784,0.03374161354992284,0.023797798446338204,IND,0.4890594176284467
AFG,2023,0.0005116530171408059,0.045767605829378485,0.0024171276504793763,0.04335047817889911,0.03802733198836041,0.0077402738410180735,IND,0.48222190206507376
AGO,1991,0.007376504072771176,-0.012468338188824025,1.4405882604478039e-05,-0.012482744071428502,-0.013572932585085686,0.001104594396261661,YUG,0.060826013143321846
AGO,1992,0.022868856527808786,-0.007290283960637734,1.1933680189710261e-05,-0.007302217640827445,-0.008018862824431726,0.0007285788637939918,YUG,0.04130533617184513
AGO,1993,0.01726215638384156,-0.0031903224214278355,0.0003639282358757397,-0.0035542506573035754,-0.005421048925330628,0.002230726503902792,YUG,0.03489334553843947
AGO,1994,0.03125951483112842,0.005911233834991695,0.002714138150185275,0.00319709568480642,0.0013155458300655389,0.0045956880049261555,BRA,0.023128440114031243
AGO,1995,0.024661825568958375,0.006739719768105409,0.0027350501806852824,0.004004669587420127,0.0027350501806852824,0.004004669587420127,CHN,0.026954417380772092
AGO,1996,0.027767578399482677,0.007977803683250115,0.00340046280307929,0.004577340880170824,0.00340046280307929,0.004577340880170824,CHN,0.03691529216700025
AGO,1997,0.03315434359902172,0.00909904797811985,0.00320399419894235,0.005895053779177499,0.00320399419894235,0.005895053779177499,CHN,0.03495246500376403
AGO,1998,0.03559591673255163,0.006409676502676177,0.005576781526747735,0.000832894975928442,0.005576781526747735,0.000832894975928442,CHN,0.07220878148300494
AGO,1999,0.034352624805954586,0.011921428618659245,0.005226517077610574,0.006694911541048671,0.005226517077610574,0.006694911541048671,CHN,0.07290244787891142
AGO,2000,0.028590034000123506,0.017257207321705624,0.006780750268201881,0.010476457053503743,0.006780750268201881,0.010476457053503743,CHN,0.0803526461144825
AGO,2001,0.005454707825589497,0.023208708736310424,0.017892357261562852,0.0053163514747475715,0.017892357261562852,0.0053163514747475715,CHN,0.2299285775742305
AGO,2002,0.006736554911780261,0.04774002183090398,0.03536597637248038,0.012374045458423598,0.03536597637248038,0.012374045458423598,CHN,0.40645232377710333
AGO,2003,0.0036914125244833116,0.07000776717543551,0.053077238362273724,0.016930528813161788,0.053077238362273724,0.016930528813161788,CHN,0.5675128353654257
AGO,2004,0.007112998680270622,0.06888205979600777,0.05172038625384664,0.01716167354216113,0.05172038625384664,0.01716167354216113,CHN,0.5291505756592112
AGO,2005,0.011053260603260921,0.06274912830337619,0.04848365691290723,0.014265471390468958,0.04848365691290723,0.014265471390468958,CHN,0.45150316907461724
AGO,2006,0.011367874245401727,0.05709365441433463,0.04335521572891476,0.013738438685419872,0.04335521572891476,0.013738438685419872,CHN,0.3618930010444477
AGO,2007,0.010062917177065433,0.05419767662413942,0.04306522714992279,0.011132449474216634,0.04306522714992279,0.011132449474216634,CHN,0.32447053575954493
AGO,2008,0.0012026135290613435,0.03558103922369352,0.029857533590664835,0.005723505633028682,0.029857533590664835,0.005723505633028682,CHN,0.3166818402662948
AGO,2009,-0.013389687950414243,0.030310626767742127,0.028857055325718507,0.0014535714420236198,0.028857055325718507,0.0014535714420236198,CHN,0.3260322255293419
AGO,2010,0.010254650602654064,0.04799331266403721,0.033510706892572545,0.014482605771464666,0.033510706892572545,0.014482605771464666,CHN,0.3329643574483725
AGO,2011,0.007975744490310323,0.041349024340815194,0.03175768917385815,0.009591335166957045,0.03175768917385815,0.009591335166957045,CHN,0.3473283202992847
AGO,2012,0.004312268698738265,0.03822914760871967,0.027920218465901276,0.010308929142818394,0.027920218465901276,0.010308929142818394,CHN,0.36448708252608203
AGO,2013,0.0038769005020054745,0.04022733728532184,0.029831860966267318,0.01039547631905452,0.029831860966267318,0.01039547631905452,CHN,0.40046365805419964
AGO,2014,0.006702674720642648,0.0436808066483318,0.031287555479752566,0.012393251168579235,0.031287555479752566,0.012393251168579235,CHN,0.43192705658546476
AGO,2015,0.006106803217097282,0.04104341779610826,0.030817198538731924,0.010226219257376337,0.030817198538731924,0.010226219257376337,CHN,0.4562635088759662
AGO,2016,0.0055560530611830595,0.03803572658868304,0.028961166544063718,0.009074560044619321,0.028961166544063718,0.009074560044619321,CHN,0.4388797129637538
AGO,2017,0.007962181968971634,0.03755825227641229,0.028735355686000816,0.008822896590411473,0.028735355686000816,0.008822896590411473,CHN,0.42889787848693556
AGO,2018,0.005420342132339868,0.03940046436886,0.028661935521785285,0.010738528847074717,0.028661935521785285,0.010738528847074717,CHN,0.4397780148195402
AGO,2019,0.003697759726817029,0.03744330542800595,0.02883642692544364,0.008606878502562313,0.02883642692544364,0.008606878502562313,CHN,0.49873125106529353
AGO,2020,-0.010999178573068365,-0.0025831762421073498,0.012546301296475335,-0.015129477538582684,0.012546301296475335,-0.015129477538582684,CHN,0.5645603236851515
AGO,2021,0.008831176562698008,0.06582264294830151,0.05001857522245272,0.01580406772584879,0.05001857522245272,0.01580406772584879,CHN,0.6157993760344752
