ISO3,year,T_US,T_CN,CONN,BRIDGE,x_US,m_CN,GeoV_F,DIST
AFG,1990,0.11701792420648441,0.43110748892242934,0.4269750002595225,0.32035576989347164,0.21705983946143786,0.472808878688365,0.3882378678170481,0.5727134079602985
AFG,1991,0.11947250977529149,0.44372799564455007,0.424262793181373,0.30082482508933006,0.1901408636629624,0.47593964625318824,0.3849063696783646,0.5562720043554501
AFG,1992,0.12050927364914996,0.43278594509986934,0.4356056931835309,0.2867817425464765,0.18503224229508963,0.4444834415767987,0.3556262937089654,0.5672140549001307
AFG,1993,0.07989883889496875,0.14894375065626653,0.6982864426735593,0.11674532698071394,0.039848992983120314,0.34202799999505984,0.5782749357760462,0.85111399482278
AFG,1994,0.20950711953881665,0.3693250490435231,0.7238959094202931,0.36293847178419636,0.36148777749546007,0.36439498788503916,0.48272508181157764,0.6309520347920887
AFG,1995,0.07728371858112468,0.36246009906783033,0.35149428134914606,0.16507473293581068,0.057052180351858425,0.3801797325309417,0.4037381222027245,0.6377612289041807
AFG,1996,0.10358808089822166,0.45080663505363167,0.3736979372913714,0.2839076739504363,0.18736657146152613,0.4301918250369351,0.4047576350944923,0.5491933649463683
AFG,1997,0.10787794358763375,0.5063453641650126,0.351266199852765,0.3014752637740121,0.17502582967316951,0.5192795534083545,0.3544761380213115,0.5281468906310474
AFG,1998,0.08321180733026645,0.5575449087420468,0.2597298014770258,0.2750789268083694,0.13187369242487987,0.5737946256198729,0.3048339626859021,0.48268042636457914
AFG,1999,0.06165239307632849,0.6381040446404731,0.17621100643958584,0.23722953686721426,0.08968250732892509,0.6275231908472948,0.26772133533865655,0.4207240999385648
AFG,2000,0.0059506715289723315,0.8866674556275206,0.013333073456459317,0.08783912365376674,0.00911328579841598,0.8466443185182261,0.12637765784235744,0.1271298060535566
AFG,2001,0.007209684293011296,0.9197646572508584,0.015555304974253363,0.10988341872019862,0.013274003025993159,0.9096250532710042,0.12083737610203245,0.08107476007214973
AFG,2002,0.0055453399744364185,0.9175150950890207,0.01201511789215664,0.11471464903385674,0.014399076730464084,0.9139093394175418,0.1680152791960868,0.14210831145878733
AFG,2003,0.0048123017329838895,0.8673865771547287,0.01103487254907015,0.07786981267097969,0.00721140802625528,0.8408493463879361,0.17232608974494265,0.15935285561785362
AFG,2004,0.0026790536341564585,0.9140357600457802,0.0058449009314075024,0.050877878183962236,0.002339486330216287,0.9088787129128074,0.13649563574459175,0.08596423995421971
AFG,2005,0.002808953362385888,0.9103410855469779,0.006152227438419231,0.052023828041919004,0.002465842685319386,0.9053973367715628,0.13672552493970752,0.08965891445302207
AFG,2006,0.0031246338893995778,0.9022815108665105,0.006902170716417996,0.054853555546283045,0.002682975587004573,0.8968278650632351,0.13541542658649375,0.0977184891334895
AFG,2007,0.006814104304143528,0.8791151693729516,0.015382953259601043,0.1061001465265716,0.01289593334620684,0.8729295345087315,0.126379388746589,0.12088483062704834
AFG,2008,0.01655655529337869,0.8490334026367906,0.038254961582431794,0.1350292766439532,0.003947345335689081,0.82753405877449,0.1356824762439307,0.23188475055092253
AFG,2009,0.022218466475430798,0.8039522087960624,0.05378662579164879,0.18731254212275192,0.04445491876375177,0.7892487358473497,0.1925250014778392,0.19604779120393753
AFG,2010,0.028151870650997026,0.7554198042426871,0.07185525345799848,0.15664686519212656,0.016622420868397624,0.7486215160543702,0.22537406225717518,0.24475031869268468
AFG,2011,0.021447893417969655,0.8128632526159888,0.05141461556620909,0.14081518579382596,0.016379268039113333,0.8070431300296029,0.17991373157905427,0.18713674738401115
AFG,2012,0.009041840323099232,0.7386219436152532,0.024186915341735383,0.09940643314475305,0.0,0.7133707499678676,0.18540970357498976,0.26137805638474676
AFG,2013,0.0001235494177428836,0.9124603004436874,0.00027076836339289537,0.011969266504944185,0.0,0.900571123730307,0.14259888070361706,0.08753969955631256
AFG,2014,0.0012958966763413902,0.9287343742715675,0.002786783864616754,0.036916194689112294,0.0,0.9258169685232671,0.12853935065069533,0.07126562572843256
AFG,2015,0.03209176266028074,0.9435406128462666,0.06578658819848764,0.1813939791566249,0.006998811923689269,0.9416418810020285,0.21339252924954857,0.315874819886986
AFG,2016,0.012877441899620316,0.9206782284687868,0.027587946403964357,0.11379283122872201,0.006053918481229321,0.9171670442348329,0.17991641250013332,0.2595462584020294
AFG,2017,0.008308270923874407,0.8938990368370614,0.0184176537973153,0.0914437278389334,0.004038378730028302,0.8874571578322082,0.15483654219137447,0.2504576780898791
AFG,2018,0.007706790109977404,0.899477785262891,0.016990566901580708,0.08857925766038802,0.003766139265080315,0.8923069302801777,0.15870856868905586,0.25760348669194494
AFG,2019,0.007762249019011868,0.9332547863211778,0.01649757385360344,0.08859378528569893,0.005436798808902879,0.9280604329085991,0.1644564616300396,0.24508329937436177
AFG,2020,0.007821994378766309,0.9168823617549744,0.0169178274696805,0.08840116948865491,0.0047327013418104755,0.9124401122174071,0.1503414010065486,0.23575538759611125
AFG,2021,0.007806425694178759,0.8943335821728078,0.017306461582689846,0.10594977201005928,0.012550451383879632,0.8944183635818784,0.20953876091489937,0.2871088079927576
AFG,2022,0.02886849293098901,0.9300014053686592,0.06021357638232495,0.1852368542635634,0.03671132128131439,0.9346624142053249,0.19736594848828573,0.07005622161234107
AFG,2023,0.012390902522520649,0.9296845641392507,0.026305541245920785,0.12433967628494907,0.016557933231303407,0.9337128542961831,0.17711349091933323,0.07031543586074925
AGO,1990,0.5546112080768005,0.11930508084682204,0.3540649864314033,0.31326873047507897,0.6932312175043812,0.14156502912081775,0.6985932587558682,0.876200769389059
AGO,1991,0.561124748254683,0.08509245307053522,0.2633555804334314,0.25793104647465787,0.7288484959005525,0.09127881186516103,0.6958807769736028,0.9149075469294647
AGO,1992,0.5636528317065654,0.060058835154441256,0.19258525483963823,0.24185838681616909,0.8225882344042806,0.07111149518894125,0.7129420971129876,0.9364390385477124
AGO,1993,0.7049932958596331,0.08552028199770598,0.2163663835591689,0.28422141473025786,0.8519033744789738,0.09482508816293349,0.781167863580437,0.9144656349954747
AGO,1994,0.7013380904594138,0.1035369136373452,0.2572745161928234,0.46011734017736544,0.8598260090749396,0.24622186872395677,0.7800024678074481,0.8964507980498457
AGO,1995,0.6135088295964102,0.1173762515530678,0.3211893485866964,0.34714914758771287,0.7183046288806879,0.16777356824035317,0.7405967721036509,0.8826237484469321
AGO,1996,0.5480718130263309,0.18477188774790954,0.5042600149327893,0.4400105406314184,0.6829388726588806,0.28349429739293597,0.707095999278186,0.8152281122520902
AGO,1997,0.5314196072832539,0.18426618567905897,0.5149359886448444,0.3625080474144622,0.6807539093103329,0.19303904486333198,0.6801075624341031,0.8157338143209412
AGO,1998,0.502805921628122,0.14883299614072615,0.4567959097664598,0.4226449073833794,0.7019585083275942,0.2544719034215935,0.672348489351094,0.8291907191764655
AGO,1999,0.4343628404497944,0.15668509566333136,0.5301942062220214,0.37900195872656117,0.5718550529847188,0.25118687675984985,0.6353619609045024,0.8433149043366687
AGO,2000,0.04735585581140031,0.7549285718277289,0.11805253643213219,0.2426047078554339,0.037887303719218265,0.5368671414511539,0.17615193391573636,0.2445432532753089
AGO,2001,0.06640035325822027,0.7483512787978476,0.1629953243313071,0.24235513449298424,0.06473464271396208,0.5310290594144842,0.1888630828717125,0.2516487212021524
AGO,2002,0.10755656399727026,0.7271216316034825,0.25771983637324397,0.2449075361961729,0.1166084625198962,0.5143683399088275,0.22522256793764464,0.27280118694563715
AGO,2003,0.16176774543842584,0.5986547041195789,0.42546809482664083,0.31128583088033207,0.20468654437597691,0.4734012624145471,0.3248952960473547,0.40134529588042117
AGO,2004,0.26866594715546505,0.46406166320447734,0.7333310314961015,0.3601027916421806,0.34463672549296936,0.3762629196380788,0.4294635009211738,0.5356986992180284
AGO,2005,0.2995315843169947,0.43596109137962225,0.8145059610098644,0.40434777006420225,0.3671929105251512,0.44526218908219933,0.45728960543840297,0.5491327776366135
AGO,2006,0.29643428158830776,0.4524479474807267,0.7916712937809116,0.3604202229202021,0.3433789969772598,0.37830717147342285,0.44951540452039296,0.5475520454409379
AGO,2007,0.23529323969083096,0.4825194588424413,0.6555839431974735,0.34379130404470004,0.27116682598558045,0.43586622481261916,0.3931178449777373,0.5066554151289082
AGO,2008,0.264092176176961,0.47848836687234964,0.7112822404220309,0.36770201569735117,0.32944941651755605,0.41039615057472756,0.38571912211475234,0.5102406640653248
AGO,2009,0.22810221331432065,0.5020450416708707,0.6248115342676922,0.3204168731375671,0.266887295542768,0.3846828766519674,0.358368967169557,0.49541350167251214
AGO,2010,0.30944561533998344,0.521020949930728,0.7452331695957244,0.34724252188810895,0.3450159689506155,0.3494834438358211,0.3800143890934986,0.4790652789872424
AGO,2011,0.24537814993925924,0.5109340132014869,0.6488806127889696,0.3043113847563379,0.2831226652355955,0.3270858545191357,0.3771846724669947,0.48953524490658
AGO,2012,0.18509047256397052,0.6291108011118643,0.45465532552743765,0.34223007954392676,0.19353104743626015,0.4498029481793086,0.27905005055974397,0.37093840697049385
AGO,2013,0.1344952697709868,0.6201973987500038,0.3564239468088752,0.2675312522402184,0.15030076106191237,0.4761983267385906,0.25010751816703625,0.37994861061647184
AGO,2014,0.11165690318628403,0.6137469414702141,0.3078475638329629,0.2926589645889351,0.10339993983465452,0.5009361857793881,0.2613496176476807,0.38631044675804355
AGO,2015,0.11194534373475051,0.6178099500132985,0.306802416354653,0.284601954119755,0.1048136033942473,0.553920369706478,0.26981337200899236,0.38397400492082556
AGO,2016,0.12390841272138504,0.6072115859736381,0.3389550633071159,0.3555513373586052,0.09613436041235579,0.4314668874294321,0.27346303439563857,0.39356840833978507
AGO,2017,0.058897535142524014,0.7083855795436544,0.15352230230327255,0.2883271556348523,0.040427707430850154,0.4698441987254794,0.1901964266774232,0.27376397528849344
AGO,2018,0.06007417139893654,0.746256535720979,0.1490062845640888,0.2715854846273346,0.050131741054910854,0.5043073380257268,0.1698265135531731,0.2471350345464819
AGO,2019,0.04662904839566694,0.7173234857829999,0.12207315588212116,0.2512516452566242,0.03458576078496223,0.4398316732617756,0.1852841331175395,0.2828214262277411
AGO,2020,0.05061943310270876,0.7462136832317771,0.12705152952368082,0.3132049094500765,0.02278847331740104,0.47003958258224415,0.17590861571305116,0.2539844564961533
AGO,2021,0.03883986830017845,0.7800091692517975,0.09486453917389653,0.2884278230172553,0.020077675989606664,0.49397709542649143,0.1477607882374311,0.20495681273695224
AGO,2022,0.1386087173856179,0.5973848704863922,0.37665740481891824,0.3019661565580608,0.139067058397104,0.3908330839750891,0.30136254799061657,0.40103258920347223
AGO,2023,0.10725861995449282,0.653757096434696,0.2818827985929268,0.3139283927757059,0.09442703654753305,0.5131001219043283,0.25187445245030493,0.3462429589840043
ALB,1990,0.06717550818991509,0.343408813818633,0.32721906117261124,0.149534998940418,0.04485813268069845,0.374243498557863,0.28224901301482036,0.31418307883625973
ALB,1991,0.12009096225959548,0.38580218919276926,0.4747680885373809,0.24984505961388317,0.04415653488193498,0.3716073747804047,0.2504793707318351,0.2529140946012483
ALB,1992,0.27344661320773456,0.12927575795705645,0.6420093206302551,0.302185965836116,0.09106557492598376,0.09418301014350015,0.19576465374019975,0.19640952395705907
ALB,1993,0.5943502606680828,0.01872755358177254,0.06109356152346515,0.1442449590062468,0.5611725787923545,0.014199706058624145,0.1500575146579108,0.02520563815408379
ALB,1994,0.6199092059889126,0.005074424898511503,0.01623858497319761,0.06597097503433441,0.7520448348985154,0.005787114471131335,0.18059215004280205,0.061973460212143776
ALB,1995,0.0324646611233649,0.014115868740003205,0.6060845070422531,0.029680666142555667,0.0612103950365014,0.014392031649861449,0.11106196116542996,0.02633046458501994
ALB,1996,0.05389689718532245,0.02151333913198025,0.5705681398864431,0.0324827905781039,0.03589008924377635,0.022309197217342678,0.12154287906752423,0.026207909318497372
ALB,1997,0.039763145489337515,0.004206412150773658,0.19133293016968467,0.021315161532876364,0.09100664184600689,0.00499234014085915,0.12796815799478056,0.008029234450042177
ALB,1998,0.012668534407284191,0.05675080478967709,0.3649857389549665,0.04416824517407348,0.02869931372612429,0.06797493139988461,0.03307881203323484,0.016274935010708078
ALB,1999,0.013891072360601926,0.01912301994051175,0.8415238095238095,0.014296691495445445,0.008679194267946467,0.02355004179026205,0.05310272641782153,0.015199059255579385
ALB,2000,0.020756613685441544,0.04493010087782562,0.6319881827991106,0.023435015932747563,0.009991918310187245,0.054964417714283766,0.07206202931370673,0.04276924523453911
ALB,2001,0.03986488399429223,0.06110005105672135,0.7896778019844232,0.024146092718910005,0.007852330223072988,0.07424978025975455,0.06957088495711695,0.04713581896190824
ALB,2002,0.043548570136055564,0.07474556370817095,0.7362760725464494,0.043226729461325414,0.020678669913579008,0.09036123443779151,0.07820645828679801,0.056413961002317665
ALB,2003,0.029148942813784627,0.08928049461539479,0.49225840207533944,0.02591297449453705,0.006265914672308025,0.10716428203564887,0.07632153054460561,0.06057283997058413
ALB,2004,0.015036121485629484,0.08909770526480537,0.28878457567231763,0.025918102903324025,0.006057900446484165,0.11088793288063306,0.06606369511375482,0.06473251909203404
ALB,2005,0.015353116744692863,0.11985331674120317,0.22710630476462368,0.03924085082970463,0.010531443192518003,0.1462139941972154,0.09379528443353197,0.10073943372217269
ALB,2006,0.010226960517873324,0.11481929056959544,0.16357084565005717,0.027902289726042386,0.005569915750370121,0.13977550233219893,0.08298190566845737,0.0784043090728461
ALB,2007,0.024180048049553867,0.13299249728175358,0.307687936192472,0.038148919612221256,0.009353223256594705,0.15559770441206977,0.112419714100496,0.1452802271853943
ALB,2008,0.016884092515582916,0.20368078158386216,0.15309865258028768,0.03607294878249493,0.004161372976897467,0.23791941666249053,0.1197906246110888,0.16132011555753015
ALB,2009,0.02941969495963242,0.13799917828779945,0.3514501607731218,0.04737167126894975,0.010397227875538241,0.15499216344883995,0.10695031396178291,0.12968725690502655
