enforce,p
0.0,0.5079365079365079
2.0,0.6666666666666666
3.0,0.7586206896551724
4.0,0.7586206896551724
5.0,0.7586206896551724
6.0,0.7586206896551724
7.0,0.8230088495575221
8.0,0.8773388773388774
9.0,0.9222222222222223
