ISO3,year,GeoV,GeoC,n_partners
AFG,1990,2.319443417045742,1.1181962784983903,42.0
AFG,1991,2.014954066711942,1.1356939504889125,38.0
AFG,1992,1.505907838691697,1.1281475197321753,42.0
AFG,1993,2.1334519535009244,0.36180461618909726,56.0
AFG,1994,1.8807518568541022,1.3335231809658432,62.0
AFG,1995,1.1707438870453375,0.8834887767005449,68.0
AFG,1996,1.5330379387603714,1.5036422136140313,72.0
AFG,1997,1.4354875870157786,1.2807667167233796,77.0
AFG,1998,1.5339907857558115,1.3907239339078088,78.0
AFG,1999,1.1388558126258403,1.2196087824417032,82.0
AFG,2000,0.28237616001737237,0.5255261105119456,20.0
AFG,2001,0.5047776858592917,0.5363489651341038,18.0
AFG,2002,0.6598757326585089,0.48201238047954387,20.0
AFG,2003,0.7316544539354488,0.40478089741330764,20.0
AFG,2004,0.415906657573784,0.46401916974946783,21.0
AFG,2005,0.5562015325616427,0.4177032267060195,21.0
AFG,2006,0.309390991630281,0.3912898870861441,21.0
AFG,2007,0.25289703116807877,0.4570584154625527,21.0
AFG,2008,0.23904807744276554,0.5184396231353144,33.0
AFG,2009,0.4876874268099209,0.8028702417504997,35.0
AFG,2010,0.5094439792998849,0.7711798423684483,39.0
AFG,2011,0.34418549005531857,0.5945899895208767,35.0
AFG,2012,0.2075575203926757,0.490406697380438,6.0
AFG,2013,0.3192633466760158,0.46412082880898714,6.0
AFG,2014,0.21907833298403853,0.5995967884358073,6.0
AFG,2015,0.650468739112028,0.42250183702247157,52.0
AFG,2016,0.44546340655824246,0.40506626374222965,47.0
AFG,2017,0.7669045991409054,0.33513883955702756,52.0
AFG,2018,0.6405507630740942,0.32514528735406145,57.0
AFG,2019,0.4609547473259552,0.4067598429235054,62.0
AFG,2020,0.4522571086197893,0.4145834679810233,64.0
AFG,2021,0.7676016855773238,0.5456340132823083,62.0
AFG,2022,0.33605907024259596,0.7635261023887193,43.0
AFG,2023,0.3712023919346934,0.5614151699399446,42.0
AGO,1990,3.4581188983438893,1.050794019581675,39.0
AGO,1991,3.2887066589765834,0.975890811820211,37.0
AGO,1992,3.383524931392041,0.9385601359675118,42.0
AGO,1993,3.1876935475499795,0.9674461797231051,37.0
AGO,1994,2.7832510962537165,1.115673868789866,40.0
AGO,1995,3.132981917485389,1.253989875270113,50.0
AGO,1996,3.0723129207881827,1.2579474438885139,50.0
AGO,1997,2.8466247755738934,1.3277291400445252,53.0
AGO,1998,2.5898368833291374,1.4008455171106111,55.0
AGO,1999,2.5282299917068416,1.3136828989600762,53.0
AGO,2000,0.5940109801815837,0.9804512821406515,57.0
AGO,2001,0.6211494920096634,1.2169111178479635,56.0
AGO,2002,0.7968680942630613,1.3623500338779473,57.0
AGO,2003,1.214141116839522,1.7460360512812738,57.0
AGO,2004,1.578487225307242,2.0567468933032025,101.0
AGO,2005,1.7141248737519175,2.0512283679865075,109.0
AGO,2006,1.5994162586827416,2.0213144319496252,113.0
AGO,2007,1.337902589023441,2.008777372068314,114.0
AGO,2008,1.3706536000070602,1.9888975059914826,115.0
AGO,2009,1.1257202192947882,1.8251561847702307,126.0
AGO,2010,1.209982903087206,1.7534831957605244,120.0
AGO,2011,1.2012316983486613,1.5124891281338404,30.0
AGO,2012,0.8407332133246447,1.1790567285737403,27.0
AGO,2013,0.9096630726693764,1.4381827235129452,130.0
AGO,2014,0.7960468471904432,1.3146693600466086,126.0
AGO,2015,1.3901718541592598,1.0587135514920285,126.0
AGO,2016,1.0367097868697455,1.2092310562444304,134.0
AGO,2017,0.5580998166742386,1.0495951240472035,137.0
AGO,2018,0.46074302582333354,1.1222675263927175,126.0
AGO,2019,0.539505196402457,0.9762453240869539,130.0
AGO,2020,0.372453364056551,0.9079594997602707,118.0
AGO,2021,0.5221166944569405,0.7987714178322124,126.0
AGO,2022,0.9316120570880193,0.9823064861963986,127.0
AGO,2023,0.7140370043917443,1.0499239381153385,134.0
ALB,1990,1.8146532639539525,0.8974438374991859,47.0
ALB,1991,0.7054727792779525,0.702022508308038,43.0
ALB,1992,0.8665720354972484,0.9367676491188346,44.0
ALB,1993,0.5911289837929159,0.8205939350612155,37.0
ALB,1994,0.6171067608810729,0.7587290568578683,32.0
ALB,1995,0.4412093377194333,0.6080914725185695,37.0
ALB,1996,0.2786767726209487,0.4233840541587943,32.0
ALB,1997,0.32685447851441995,0.3117867805760648,34.0
ALB,1998,0.09880442901560761,0.32718940941472824,34.0
ALB,1999,0.11084017460862508,0.23390048476191347,33.0
ALB,2000,0.24766024022925584,0.19106956124247668,28.0
ALB,2001,0.25636274594287795,0.1683888523505749,38.0
ALB,2002,0.12315443805042746,0.28346217570975096,39.0
ALB,2003,0.2071645514675242,0.25909845917596586,49.0
ALB,2004,0.2811271480765333,0.18363816521247864,51.0
ALB,2005,0.5632719891524038,0.23395212196483164,69.0
ALB,2006,0.21785574439789984,0.2937865588265368,73.0
ALB,2007,0.17025524305758027,0.42465746036060464,80.0
ALB,2008,0.17496215821856434,0.38696793645040684,72.0
ALB,2009,0.3916016224859653,0.48362244041424257,74.0
ALB,2010,0.34413279689983994,0.7265895085305751,90.0
ALB,2011,0.19261865202819253,0.45833705934102836,89.0
ALB,2012,0.21371972576359194,0.48504406892565366,89.0
ALB,2013,0.19950492550796856,0.5244961393536905,97.0
ALB,2014,0.1861796668402377,0.5597924237720381,98.0
ALB,2015,0.1810526460798527,0.491056732308557,98.0
ALB,2016,0.21428578374295762,0.43726354835265063,107.0
ALB,2017,0.16867852709089093,0.4803427627604649,107.0
ALB,2018,0.16052143894819984,0.47322680725633764,111.0
ALB,2019,0.16005624788434572,0.41673123620555014,103.0
ALB,2020,0.21990630036978773,0.4995415672580622,107.0
