ISO3,year,s_US,s_CN,s_MID,BAL,p_own
AFG,1990,0.21705983946143786,0.2716173340468435,0.5113228264917187,0.8883567771464956,-0.27775262862816413
AFG,1991,0.19014086366296246,0.2855437895722915,0.5243153467647461,0.7994408159681647,-0.18265496851689075
AFG,1992,0.18503224229508963,0.3613880850369449,0.45357967266796545,0.6772524118878691,0.07005516552614478
AFG,1993,0.03984899298312032,0.026558644057774222,0.9335923629591054,0.7998671611043507,0.14948955870203767
AFG,1994,0.36148777749546,0.39375001164679,0.24476221085774977,0.9572820181734135,0.10898120459090127
AFG,1995,0.057052180351858425,0.31875827564519527,0.6241895440029464,0.3036221022669242,0.16422189635851828
AFG,1996,0.18736657146152613,0.5685626042734424,0.2440708242650314,0.4957252014498711,0.031222244995559156
AFG,1997,0.17502582967316951,0.4529057688192072,0.3720684015076235,0.5574678200408938,0.08567384446564952
AFG,1998,0.1318736924248799,0.5082708712871663,0.3598554362879539,0.4120122231771389,-0.15715280000103332
AFG,1999,0.08968250732892509,0.6797278042213979,0.23058968844967703,0.23312010765288382,-0.09407409963547791
AFG,2000,0.00911328579841598,0.9487920480474904,0.042094666154093616,0.019027529081244245,0.027073961613738155
AFG,2001,0.013274003025993159,0.9402217999194782,0.046504197054528615,0.02784281374912832,-0.10419736633884989
AFG,2002,0.014399076730464084,0.9382866843284855,0.047314238941050454,0.030228386565700142,-0.04496942663888363
AFG,2003,0.00721140802625528,0.952842860938021,0.0399457310357238,0.015022917473269665,0.015048355169492704
AFG,2004,0.002339486330216287,0.9479516459826481,0.04970886768713559,0.00492372547878529,0.022093472127269222
AFG,2005,0.002465842685319386,0.9485133669195385,0.04902079039514213,0.005185902405466825,-0.023197565491414576
AFG,2006,0.002682975587004573,0.9464449703750097,0.05087205403798571,0.005653559350810539,0.13569164507995923
AFG,2007,0.01289593334620684,0.9373767706911892,0.04972729596260395,0.027141542193974976,0.00832577591288394
AFG,2008,0.003947345335689081,0.9688988468072227,0.02715380785708816,0.008115045045289572,-0.0033241925316654145
AFG,2009,0.04445491876375177,0.9254807531629679,0.03006432807328038,0.0916657053667172,-0.03329531694307269
AFG,2010,0.016622420868397624,0.8455070878138395,0.13787049131776288,0.03856130825125091,-0.0021957262391813694
AFG,2011,0.016379268039113333,0.9118450257369756,0.0717757062239111,0.03529161679766254,0.02685685923629363
AFG,2012,0.0,0.9948318667490634,0.005168133250936556,0.0,0.01568089030153228
AFG,2013,0.0,0.9754506519056158,0.024549348094384207,0.0,-0.09116652085911664
AFG,2014,0.0,0.9589034278599452,0.041096572140054806,0.0,-0.005307674460954313
AFG,2015,0.006998811923689269,0.9691775886385026,0.02382359943780815,0.014339236063601964,-0.20327569246831267
AFG,2016,0.006053918481229321,0.9591056573642306,0.03484042415454009,0.012544906837661976,-0.08012564070414334
AFG,2017,0.004038378730028302,0.9534813899642404,0.042480231305731316,0.008435081680945923,-0.1953156357878169
AFG,2018,0.003766139265080315,0.9593373650531972,0.036896495681722444,0.007820840124024129,-0.13289545414842274
AFG,2019,0.005436798808902879,0.9736483413224042,0.02091485986869293,0.011105875446488217,-0.06918330204298397
AFG,2020,0.0047327013418104755,0.9541057345017037,0.0411615641564859,0.009871738897590186,0.0003308547995547809
AFG,2021,0.012550451383879632,0.8937526667845916,0.09369688183152877,0.02769592453624693,-0.16843862789235098
AFG,2022,0.03671132128131439,0.8790777385123886,0.08421094020629699,0.08017418615938529,0.22162113692126348
AFG,2023,0.016557933231303407,0.8916285925888772,0.09181347417981939,0.036463728013031216,0.08716359842833728
AGO,1990,0.6932312175043811,0.10920162702032743,0.19756715547529147,0.2721763640794364,-0.3039805698835703
AGO,1991,0.7288484959005526,0.08151612502876655,0.18963537907068093,0.2011838200322333,-0.2081566152007323
AGO,1992,0.8225882344042806,0.052115026078503955,0.1252967395172154,0.11916047060288659,-0.0377819388893148
AGO,1993,0.8519033744789738,0.08123208559414125,0.06686453992688507,0.17410566647585418,0.16604922849544343
AGO,1994,0.8598260090749396,0.03246212476635189,0.10771186615870867,0.07276152967899005,0.3063305970001378
AGO,1995,0.7183046288806879,0.08911656763277145,0.1925788034865406,0.2207436911926201,0.19335842173330614
AGO,1996,0.6829388726588806,0.13614621228151605,0.18091491505960333,0.3324348465981972,0.13700063654793354
AGO,1997,0.6807539093103329,0.1791197619389709,0.14012632875069633,0.4166187846610751,0.11837020242423063
AGO,1998,0.7019585083275941,0.07633845357346991,0.22170303809893593,0.1961679341186326,0.0229454912499026
AGO,1999,0.5718550529847188,0.10581634320538323,0.322328603809898,0.3122939637124639,-0.021612411079163885
AGO,2000,0.037887303719218265,0.8488631977670176,0.11324949851376415,0.08545200404334105,0.11560130365110387
AGO,2001,0.06473464271396208,0.8277170170840422,0.10754834020199568,0.1450714825912565,0.09508284763564241
AGO,2002,0.1166084625198962,0.7864624476814209,0.09692908979868284,0.25824874038717793,-0.05300548798510656
AGO,2003,0.20468654437597691,0.6701788517003807,0.12513460392364237,0.46792694120482053,0.16429615542525972
AGO,2004,0.34463672549296936,0.501196290809614,0.15416698369741658,0.8149048780325242,0.08581379133948772
AGO,2005,0.3671929105251512,0.4326609610644356,0.20014612841041324,0.9181499860603579,0.06676033485526899
AGO,2006,0.3433789969772598,0.4783751409118996,0.17824586211084065,0.8357219784966285,0.11716504815964982
AGO,2007,0.27116682598558045,0.49935830593535613,0.22947486807906348,0.7038494002383944,0.09659046391738052
AGO,2008,0.32944941651755605,0.5048097647367418,0.16574081874570215,0.7898011167758037,0.021868524677307048
AGO,2009,0.266887295542768,0.5610197881151254,0.17209291634210652,0.6447276531651245,-0.0006873538387771113
AGO,2010,0.3450159689506155,0.5788925689500488,0.07609146209933573,0.7468617396578502,0.05240123423369531
AGO,2011,0.2831226652355955,0.5735915713843157,0.14328576338008878,0.6609500651060275,0.010936963661391732
AGO,2012,0.19353104743626015,0.7070004296894119,0.09946852287432799,0.4298151754872024,0.0396308457439643
AGO,2013,0.15030076106191237,0.685564978673478,0.1641342602646097,0.3596289545483537,-0.07592738310027403
AGO,2014,0.10339993983465452,0.6746126680142167,0.22198739215112873,0.26580530647323375,0.037996909159813165
AGO,2015,0.1048136033942473,0.6602998617244497,0.2348865348813031,0.27398185543104225,-0.3140133577753636
AGO,2016,0.09613436041235579,0.6892382856197672,0.21462735396787705,0.24481209244566368,-0.1570681780112847
AGO,2017,0.040427707430850154,0.8087639841134344,0.15080830845571547,0.09521456187902867,-0.07295744568111787
AGO,2018,0.050131741054910854,0.8297202422742984,0.12014801667079074,0.11395494243297817,-0.025215489792499945
AGO,2019,0.03458576078496223,0.8313721882037566,0.13404205101128117,0.07987861494972613,-0.07688226128720585
AGO,2020,0.02278847331740104,0.8698826857657511,0.10732884091684788,0.05105681545891256,0.03791638478525445
AGO,2021,0.020077675989606664,0.8755400756228537,0.10438224838753955,0.04483536855641603,-0.11037863792066703
AGO,2022,0.139067058397104,0.6646018648790224,0.19633107672387357,0.346080467638844,0.14175398113441165
AGO,2023,0.09442703654753305,0.7115105576598515,0.19406240579261544,0.23432840762416404,0.0737749275903025
ALB,1990,0.04485813268069845,0.283949420582527,0.6711924467367747,0.2728534197922605,-0.19893863622106975
ALB,1991,0.04415653488193498,0.42722708186702857,0.5286163832510363,0.18734861931126742,0.40779908984030083
ALB,1992,0.09106557492598374,0.29193821064456077,0.6169962144294554,0.4755335500944317,0.4657247356082104
ALB,1993,0.5611725787923545,0.03445357102756112,0.4043738501800844,0.11568857760183289,0.5419050559691753
ALB,1994,0.7520448348985154,0.004225194917010794,0.24372997018447382,0.011173773256733256,0.5847992060403666
ALB,1995,0.061210395036501386,0.013190714558873055,0.9255988904046255,0.3545838128116608,0.5286989869606086
ALB,1996,0.03589008924377636,0.018144668858619022,0.9459652418976047,0.6715924895688452,0.5704880105013826
ALB,1997,0.09100664184600689,0.0007783293479956953,0.9082150288059975,0.016959842943145204,0.5598951368491647
ALB,1998,0.02869931372612429,0.01407475922200733,0.9572259270518683,0.6580976863753218,0.5001137550489375
ALB,1999,0.008679194267946467,0.004515344058402052,0.9868054616736516,0.6844262295081963,0.5125779190212141
ALB,2000,0.009991918310187245,0.001989709056927514,0.9880183726328853,0.33212667961758635,0.6145147367626561
ALB,2001,0.007852330223072988,0.0025257221892233672,0.9896219475877036,0.48674300126501285,0.6071125421105256
ALB,2002,0.020678669913579008,0.0049370704989353,0.9743842595874856,0.3854716217004873,0.5163137170707414
ALB,2003,0.006265914672308025,0.01389329385576965,0.9798407914719224,0.6216429244809766,0.5782955714066328
ALB,2004,0.006057900446484165,0.0026386061279020713,0.9913034934256137,0.6068197856995913,0.5654843076331417
ALB,2005,0.010531443192518003,0.010618962840846716,0.9788495939666353,0.9958620346015746,0.6253428768776853
ALB,2006,0.005569915750370121,0.014645007180463004,0.9797850770691668,0.5510696992937352,0.527728872244223
ALB,2007,0.009353223256594705,0.04208740104835918,0.9485593756950461,0.36365123413535094,0.4346481281948947
ALB,2008,0.004161372976897467,0.0649823645820512,0.9308562624410514,0.12036876002977649,0.4858638292033359
ALB,2009,0.010397227875538241,0.06615931229711672,0.923443459827345,0.27162219849773206,0.4290067151332722
ALB,2010,0.02911455924087195,0.1424800449393752,0.8284053958197528,0.3393411975855524,0.5285723397277597
ALB,2011,0.012814178818296794,0.036619239126190695,0.9505665820555125,0.5184419508554639,0.5472887812337526
ALB,2012,0.014712679251811116,0.0489350813016912,0.9363522394464977,0.46231569261399663,0.5357951243724643
ALB,2013,0.011824157950764932,0.10689445691232581,0.8812813851369092,0.1991963596340952,0.46922049280402933
ALB,2014,0.008603205981821634,0.058936982615169844,0.9324598114030085,0.2547581272879317,0.5084064695208752
ALB,2015,0.012380408851446045,0.1612098761470297,0.8264097150015243,0.14263942076660285,0.4328681982414891
ALB,2016,0.010503812263784735,0.05012879108358212,0.9393673966526331,0.3464740645757179,0.49826882288790025
ALB,2017,0.016831636129108065,0.04821837863911156,0.9349499852317804,0.5174983030851273,0.4718427531765283
ALB,2018,0.0242705112798017,0.034654846470807264,0.9410746422493911,0.8237713679235449,0.49383071976988907
ALB,2019,0.017550115391244514,0.04417106105409108,0.9382788235546644,0.5686902422149412,0.5036361118764545
ALB,2020,0.017479446412449345,0.040825763729503264,0.9416947898580474,0.599584372301997,0.504715674519945
ALB,2021,0.018847749732594444,0.05233441483131019,0.9288178354360954,0.5295638267834255,0.4837000540049933
ALB,2022,0.17634149725782852,0.03483170279407505,0.7888267999480965,0.3298875310457376,0.6523016761823751
ALB,2023,0.08215339296719075,0.03722859193218383,0.8806180151006254,0.623688607013249,0.6043874346358672
ARG,1990,0.19484655936392697,0.4612721888111813,0.3438812518248917,0.5939368747070929,-0.09891605550970732
ARG,1991,0.15832315368485925,0.47276486012566254,0.3689119861894781,0.5017466667728355,0.3569376922614586
ARG,1992,0.16104476616243843,0.48459799982790325,0.35435723400965835,0.4988664773945521,0.42224858202961574
ARG,1993,0.3286199592323248,0.45626403193891907,0.21511600882875617,0.8373720522492537,0.5280539146828869
ARG,1994,0.31076525658508497,0.4323112267545258,0.25692351666038926,0.8364287218145076,0.5554382777754121
ARG,1995,0.11804375834064039,0.6021778466497862,0.2797783950095734,0.3277984373773665,0.648385879724592
ARG,1996,0.11764623897137023,0.6599992078296743,0.22235455319895553,0.3025703794841848,0.4504771898498131
ARG,1997,0.1504074202620843,0.6810160806040312,0.1685764991338845,0.3618069975299014,0.4198334880999024
ARG,1998,0.09792352353140178,0.6733645126705128,0.22871196379808548,0.25392206007397866,0.24165905480656139
ARG,1999,0.13060927736260347,0.6173801927022314,0.25201052993516515,0.3492275829799647,0.314524909943192
ARG,2000,0.135549136379767,0.6477475699670564,0.21670329365317656,0.3460990842459878,0.3105253835228412
ARG,2001,0.1258540440723742,0.6613635154034709,0.21278244052415485,0.31974399594483605,0.28113463607101347
ARG,2002,0.13497465438524384,0.6223388075298999,0.2426865380848563,0.3564565036092482,0.2723217765072475
ARG,2003,0.13666718356565677,0.6191491850758334,0.2441836313585098,0.361641237834802,0.3218918248111263
ARG,2004,0.12010991502122301,0.6508902864920041,0.2289997984867729,0.311569088530679,0.27622502891662004
ARG,2005,0.12146021946740813,0.6611439068069379,0.21739587372565397,0.31040015095660156,0.24786335018569966
ARG,2006,0.09683463074454111,0.6759343068887558,0.22723106236670307,0.25061729587917825,0.260491243329783
ARG,2007,0.09615467911602202,0.6811065278134905,0.22273879307048758,0.24741921572509923,0.19739982411623722
ARG,2008,0.08945803934852478,0.6807611191232549,0.2297808415282204,0.23229242836810704,0.21372053975911692
ARG,2009,0.0950316178657849,0.6810518003669771,0.22391658176723805,0.24490052392095596,0.18219541890144855
ARG,2010,0.09948949951218065,0.7042721668804872,0.19623833360733217,0.24755970251404422,0.26250766029234734
ARG,2011,0.0958058217366355,0.694317768258354,0.20987641000501053,0.24250844538698824,0.21332602974080814
ARG,2012,0.09871415367409825,0.7112873240923032,0.18999852223359856,0.24373820637044982,0.2211192074286116
ARG,2013,0.08920009949236958,0.730723279971519,0.1800766205361114,0.21758154902399188,0.11673392689003209
ARG,2014,0.10421553523372021,0.7152616225396412,0.18052284222663856,0.2543464067183739,0.1989504603696807
ARG,2015,0.10186957692102157,0.7456057126945166,0.15252471038446183,0.24040719102791838,0.025188874064127946
ARG,2016,0.11395324055890108,0.6790409277208383,0.2070058317202606,0.2873999459695964,0.10695027901067283
ARG,2017,0.09503975050123893,0.6768052709090128,0.22815497858974834,0.24626640806101235,0.08665076244564168
ARG,2018,0.08738130315153807,0.6938827562969705,0.21873594055149145,0.2236921104836698,0.1521165890453861
ARG,2019,0.07918524729944199,0.7293380177928354,0.19147673490772266,0.19587623688331224,0.0948624624551114
ARG,2020,0.07830044334216098,0.725796492470034,0.19590306418780498,0.19475374138336188,0.16242321695962006
ARG,2021,0.07938288302829186,0.7211027609995809,0.19951435597212727,0.1983368062139232,0.0686718745472563
ARG,2022,0.12694821392908207,0.5575388280129397,0.31551295805797813,0.3709294877779,0.29504857703004406
ARG,2023,0.11938592465615157,0.7142171074112342,0.16639696793261421,0.2864335182660439,0.2394571010884971
ARM,1992,0.23038194566373132,0.0004321489536823828,0.7691859053825862,0.003744562951397678,0.3020095296564201
ARM,1993,0.020932503602970363,0.07240099759580265,0.906666498801227,0.4485528418866504,0.47001474152586337
ARM,1994,0.04870103106027597,0.09685714499827104,0.854441823941453,0.6691624253478862,0.5065915260661349
ARM,1995,0.020403553268414983,0.4840625212431457,0.4955339254884393,0.08089167656386138,0.4812503767118359
ARM,1996,0.033404725252660465,0.41927581821832544,0.5473194565290141,0.14758630886375396,0.4537129936037877
ARM,1997,0.0636688986086344,0.49784590233091525,0.4384851990604503,0.22677549550644427,0.4852843215730517
ARM,1998,0.09380787053600817,0.8045427267618641,0.10164940270212768,0.20884467783106211,0.2913401193545405
ARM,1999,0.18837620324140616,0.5983923229386696,0.2132314738199242,0.47886054658544025,0.3088634677082304
