ISO3,year,D_N,D_S
AND,1998,0.0,0.0
AND,1999,0.0,0.0
AND,2000,0.0,0.0
AND,2001,0.0,0.0
AND,2002,0.0,0.0
AND,2003,0.0,0.0
AND,2004,0.0,0.0
AND,2005,0.0,0.0
AND,2006,0.0,0.0
AND,2007,0.0,0.0
AND,2008,0.0,0.0
AND,2009,0.0,0.0
AND,2010,0.0,0.0
AND,2011,0.0,0.0
AND,2012,0.0,0.0
AND,2013,0.0,0.0
AND,2014,0.0,0.0
AND,2015,0.0,0.0
AND,2016,0.0,0.0
AND,2017,0.0,0.0
AND,2018,0.0,0.0
AND,2019,0.0,0.0
AND,2020,0.0,0.0
AND,2021,0.0,0.0
AND,2022,0.0,0.0
ARE,1989,0.0,0.0
ARE,1990,0.0,0.0
ARE,1991,0.0,0.0
ARE,1992,0.0,0.0
ARE,1993,0.0,0.0
ARE,1994,0.0,0.0
ARE,1995,0.0,0.0
ARE,1996,0.0,0.0
ARE,1997,0.0,0.0
ARE,1998,0.0,0.5079365079365079
ARE,1999,0.0,0.5079365079365079
ARE,2000,0.0,0.5079365079365079
ARE,2001,0.0,0.5079365079365079
ARE,2002,0.0,0.5079365079365079
ARE,2003,0.0,2.9999999999975078
ARE,2004,0.0,2.9999999999975078
ARE,2005,0.0,2.9999999999975078
ARE,2006,0.0,2.9999999999975078
ARE,2007,0.0,2.9999999999975078
ARE,2008,0.0,2.9999999999975078
ARE,2009,0.0,4.75467775467614
ARE,2010,0.0,4.75467775467614
ARE,2011,0.0,4.75467775467614
ARE,2012,0.0,4.75467775467614
ARE,2013,0.0,5.999999999997755
ARE,2014,5.999999999994,5.999999999997755
ARE,2015,5.999999999994,5.999999999997755
ARE,2016,5.999999999994,5.999999999997755
ARE,2017,5.999999999994,5.999999999997755
ARE,2018,5.999999999994,5.999999999997755
ARE,2019,5.999999999994,5.999999999997755
ARE,2020,5.999999999994,5.999999999997755
ARE,2021,5.999999999994,5.999999999997755
ARE,2022,5.999999999994,6.0
ARG,1989,0.0,1.5079365079355078
ARG,1990,0.0,1.5079365079355078
ARG,1991,0.0,5.999999999996016
ARG,1992,0.0,5.999999999996016
ARG,1993,0.0,5.999999999996016
ARG,1994,0.0,5.999999999996016
ARG,1995,0.0,5.999999999996016
ARG,1996,0.0,5.999999999997907
ARG,1997,0.0,5.99999999999818
ARG,1998,0.0,5.99999999999818
ARG,1999,0.0,5.99999999999818
ARG,2000,0.0,5.99999999999818
ARG,2001,0.0,5.99999999999818
ARG,2002,0.0,5.99999999999818
ARG,2003,0.0,5.99999999999818
ARG,2004,0.0,5.99999999999818
ARG,2005,0.0,6.0
ARG,2006,0.0,6.0
ARG,2007,0.0,6.0
ARG,2008,0.0,6.0
ARG,2009,0.0,6.0
ARG,2010,0.0,6.0
ARG,2011,0.0,6.0
ARG,2012,0.0,6.0
ARG,2013,0.0,6.0
ARG,2014,0.0,6.0
ARG,2015,0.0,6.0
ARG,2016,0.0,6.0
ARG,2017,0.0,6.0
ARG,2018,0.0,6.0
ARG,2019,0.0,6.0
ARG,2020,0.0,6.0
ARG,2021,0.0,6.0
ARG,2022,0.0,6.0
ARM,1993,0.0,0.999999999999
ARM,1994,0.0,3.9999999999977587
ARM,1995,0.0,3.9999999999977587
ARM,1996,0.0,3.9999999999977587
ARM,1997,0.0,3.9999999999977587
ARM,1998,0.0,3.9999999999977587
ARM,1999,0.0,3.9999999999977587
ARM,2000,0.0,3.9999999999977587
ARM,2001,0.0,3.9999999999977587
ARM,2002,0.0,3.9999999999978813
ARM,2003,0.0,3.9999999999978813
ARM,2004,0.0,3.9999999999978813
ARM,2005,0.0,3.9999999999978813
ARM,2006,0.0,3.9999999999978813
ARM,2007,0.0,3.9999999999978813
ARM,2008,0.0,3.9999999999978813
ARM,2009,0.0,3.9999999999978813
ARM,2010,0.0,3.9999999999978813
ARM,2011,0.0,3.9999999999978813
ARM,2012,0.0,2.9999999999989417
ARM,2013,0.0,2.9999999999989417
ARM,2014,0.0,2.9999999999989417
ARM,2015,0.0,6.0
ARM,2016,0.0,6.0
ARM,2017,0.0,6.0
