ISO3,country,conv,conv_2019,rel_1995,rel_2020,conv_pp,pop_1995,region,inc_1995,D_desta_bb_mean,D_desta_max_mean,D_desta_bb_2020,D_desta_bb_1995,n_pta_desta_mean,D_wb_bb_le_mean,D_wb_bb_le_2020,D_wb_all_le_2020,n_pta_wb_2020
AFG,Afghanistan,-5.397146302569366,-3.453378956050562,1.139953799980414,1.0800592959547435,-0.059894504025670425,16.55917,"Middle East, North Africa, Afghanistan & Pakistan",L,0.6923076923076923,0.6923076923076923,1.0,0.0,1.5769230769230769,0.6923076923076923,1.0,3.0,3.0
AGO,Angola,4.841404356180417,9.66039699135739,5.89403806605105,6.186414517549991,0.2923764514989413,13.69978,Sub-Saharan Africa,L,4.0,3.0,4.0,4.0,6.230769230769231,5.153846153846154,5.0,12.0,2.0
ALB,Albania,80.60889893785969,79.86021180265067,3.741935158675753,8.378694368617017,4.636759209941264,3.187784,Europe & Central Asia,L,3.6538461538461537,4.3076923076923075,6.0,0.0,7.346153846153846,6.230769230769231,11.0,22.0,4.0
ARG,Argentina,-22.067569341025887,-13.247272191466223,25.77170450421388,20.668310898003657,-5.103393606210222,35.13382,Latin America & Caribbean,UM,4.923076923076923,4.884615384615385,5.0,3.0,27.46153846153846,11.0,11.0,19.0,9.0
ARM,Armenia,111.12900672271479,115.8369113462309,2.233869597276388,6.787109051363977,4.553239454087589,3.313537,Europe & Central Asia,L,1.5769230769230769,2.576923076923077,6.0,1.0,11.76923076923077,7.076923076923077,12.0,33.0,13.0
AZE,Azerbaijan,117.00955011340972,119.41519939138281,2.6807124519229846,8.638058656363219,5.957346204440235,7.708673,Europe & Central Asia,L,1.9615384615384615,2.0,2.0,1.0,6.923076923076923,6.538461538461538,7.0,14.0,5.0
BDI,Burundi,-49.42728242116154,-49.400000433965104,0.7265598747261315,0.4432120279542878,-0.28334784677184366,6.066316,Sub-Saharan Africa,L,4.0,3.5384615384615383,4.0,4.0,12.307692307692308,5.884615384615385,7.0,16.0,6.0
BEN,Benin,1.0908422060651068,-2.598531521270342,1.8739978954604541,1.8945518477079089,0.02055395224745471,6.226773,Sub-Saharan Africa,L,4.0,3.0,4.0,4.0,12.73076923076923,2.8076923076923075,3.0,12.0,3.0
BFA,Burkina Faso,34.35507440677443,32.22407789764678,0.8513652144191683,1.2003783717130303,0.34901315729386195,10.38672,Sub-Saharan Africa,L,4.0,3.0,4.0,4.0,13.76923076923077,2.9615384615384617,5.0,14.0,3.0
BGD,Bangladesh,68.62485315920122,63.687299483757045,1.575129517511267,3.12860180280024,1.5534722852889729,117.8216,South Asia,L,1.0,1.0,1.0,1.0,4.538461538461538,2.0,2.0,7.0,7.0
