检验,内容,预测,估计,SE,原始p,N,方向正确,区域年份FE估计,区域年份FE_p,投资主效应,调节变量主效应,Holm调整p,判定
R1,复制：投资 × GeoC,>0,-0.02057371809421095,0.021051052721360316,0.3284786863386464,3518,False,-0.008731988029044705,0.6672526802516412,0.1199710916227367,0.002373658702243273,1.0,不支持
R2,复制：投资 × 国家能力（2016 年前）,>0,-0.040936782951592886,0.05019426961655007,0.4148212043823363,2800,False,-0.03699664020301207,0.4795837820030826,0.09524164128054223,0.02022506119246999,1.0,不支持
A1,双循环：投资 × 跨阵营平衡 CONN,>0,-0.02197311010359196,0.015694177162188714,0.16158029227310178,3565,False,-0.007420569185831907,0.6633309618437371,0.1146034078329313,0.0032879549607390396,0.9694817536386107,不支持
A2,双循环：投资 × 桥接度 BRIDGE,>0,-0.008360324463426053,0.024618567374860467,0.7341830243406238,3565,False,-0.021941551983460518,0.4194299994946973,0.11506139322161668,0.002091805581245498,1.0,不支持
B,碎片化：投资 × CONN × 2018 后,>0,-0.01702003955278629,0.03554166110860743,0.6320577831769927,3565,False,-0.008488151407847418,0.7933223750634455,0.10148226323227756,0.0014512705854471096,1.0,不支持
C,制度型开放：投资 × 约束性深度 D（V2）,>0,0.02378918132720999,0.02007000773936215,0.23597545448520263,3656,True,0.023075389045114976,0.21795024537566654,0.12516755840570606,-0.002060668369187261,1.0,方向一致，不显著
D,脆弱性：GeoV_F × 2018 后,<0,-0.009956263347359271,0.003742427811622036,0.007841941610925884,3565,True,-0.0015877980921304483,0.7343401991894014,,-0.003556223864544573,0.05489359127648119,方向一致，不显著
