threshold,coef,se,p,countries
0,-0.24501939615438534,0.07966074318179057,0.002522275603873636,144
5000,-0.13331472025726268,0.0834269616412135,0.11253226493050139,135
20000,-0.3050021780526768,0.10407881676764424,0.004382843199007391,91
50000,0.061464762448897294,0.14183817330448575,0.6663186556997445,65
