model,term,coef,se,p,lo,hi,nobs,countries
单项 电力损耗率（百分点），年度,etcr,0.37293038046215704,0.3002620947146292,0.2229853774185926,-0.23795744447893824,0.9838182054032523,1274,34
单项 民航致命事故，泊松，年度,etcr,0.041851166273416875,0.06966349493325594,0.5479986537788619,-0.09468677483295335,0.17838910737978708,1233,34
