model,term,coef,se,p,nobs,countries
T1 活跃持久对抗数,n_rivalries,0.0885141359767395,0.05221138906587066,0.0916222563933653,23590,195
T1 活跃持久对抗数（含控制）,n_rivalries,0.0589948181555892,0.04767334150921426,0.21740452537576527,19904,195
T2 是否处于持久对抗,any_rivalry,0.10306750945042359,0.11292940346386832,0.3625478345882054,23590,195
T2 是否处于持久对抗（含控制）,any_rivalry,0.009643951273664667,0.10722200150657597,0.9284246885601319,19904,195
T3 过去五年军事化争端数,mids5,0.019361453214540324,0.011506226745619299,0.09404312671039516,23590,195
T3 过去五年军事化争端数（含控制）,mids5,0.01266752042940551,0.010321541785001581,0.22120098187432768,19904,195
