sample,dv,coef,se,p,nobs,countries
全部有平炉的国家,modern_share,-0.02203858151609447,0.03322770084422326,0.5105480797086213,1354,46
全部有平炉的国家,ohf_share,0.020185851400292165,0.03326262629150388,0.5469917915318379,1354,46
后发国家,modern_share,-0.015742947506845892,0.03770279246554522,0.6788237867862246,822,36
后发国家,ohf_share,0.015745062686975682,0.0377046579187516,0.6787981133610395,822,36
