tech,coef,se,p,lo,hi,lat
民航,-0.04029248595041847,0.08686616261159115,0.6435223828370649,-0.21212234161480015,0.13153736971396324,0
钢铁,-0.12452816023251122,0.11759536109360694,0.2915543558549296,-0.3571434078274251,0.10808708736240268,1
电力,0.06931941824214864,0.12918675848178796,0.5924588843543974,-0.1862247591026085,0.3248635955869058,2
