country_name,year,ohf_share,modern_share,soft
Algeria,1974,0.23809523809523808,0.7619047619047619,1.79031140726193
Algeria,1975,0.23809523809523808,0.7619047619047619,1.79031140726193
Algeria,1976,0.14563106796116504,0.8543689320388349,1.79031140726193
Algeria,1977,0.10526315789473684,0.8947368421052632,1.79031140726193
Algeria,1978,0.14218009478672985,0.8578199052132701,1.79031140726193
Algeria,1979,0.06666666666666667,0.9333333333333333,1.79031140726193
Algeria,1980,0.07731958762886598,0.9226804123711341,1.79031140726193
Algeria,1981,0.05385996409335727,0.9461400359066428,1.79031140726193
Algeria,1982,0.03456221198156682,0.9654377880184332,1.79031140726193
Algeria,1983,0.033707865168539325,0.9662921348314607,1.79031140726193
Algeria,1984,0.04,0.96,1.79031140726193
Algeria,1985,0.021216407355021217,0.9787835926449788,1.79031140726193
Algeria,1986,0.020689655172413793,0.9793103448275862,1.79031140726193
Algeria,1987,0.02217873450750163,0.9778212654924984,1.79031140726193
Algeria,1988,0.026931254429482635,0.9730687455705174,1.79031140726193
Algeria,1989,0.028846153846153848,0.9711538461538461,1.79031140726193
Algeria,1990,0.02857142857142857,0.9714285714285714,1.79031140726193
Algeria,1992,0.0,1.0,1.79031140726193
Algeria,1993,0.0,1.0,1.79031140726193
Algeria,1994,0.0,1.0,1.79031140726193
Algeria,1995,0.0,1.0,1.79031140726193
Algeria,1996,0.0,1.0,1.79031140726193
Algeria,1997,0.0,1.0,1.79031140726193
Algeria,1998,0.0,1.0,1.79031140726193
Algeria,1999,0.0,1.0,1.79031140726193
Algeria,2000,0.0,1.0,1.79031140726193
Algeria,2001,0.0,1.0,1.79031140726193
Argentina,1970,0.7471264367816092,0.25287356321839083,-0.0904025412020405
Argentina,1971,0.7345374931581828,0.2654625068418172,-0.0904025412020405
Argentina,1972,0.6441658630665381,0.3558341369334619,-0.0904025412020405
Argentina,1973,0.5296331138287864,0.4703668861712135,0.0465842107346371
Argentina,1974,0.4189307624890447,0.5810692375109553,0.0465842107346371
Argentina,1975,0.4455861746847268,0.5544138253152733,0.0465842107346371
Argentina,1976,0.4583861427967892,0.5416138572032109,-0.0946833772000616
Argentina,1977,0.49266409266409267,0.5073359073359074,-0.0946833772000616
Argentina,1978,0.3570903747244673,0.6429096252755327,-0.0946833772000616
Argentina,1979,0.25337186897880537,0.7466281310211946,-0.0946833772000616
Argentina,1980,0.1716937354988399,0.8283062645011601,-0.0946833772000616
Argentina,1981,0.1333605220228385,0.8666394779771615,-0.0946833772000616
Argentina,1982,0.22233893557422968,0.7776610644257703,-0.0946833772000616
Argentina,1983,0.231914157147802,0.7680858428521979,-0.0946833772000616
Argentina,1984,0.22748267898383373,0.7725173210161663,-0.0946833772000616
Argentina,1985,0.14892893573614416,0.8510710642638558,-0.0946833772000616
Argentina,1986,0.1054095826893354,0.8945904173106646,-0.0946833772000616
Argentina,1987,0.10459675199559593,0.8954032480044041,-0.0946833772000616
Argentina,1988,0.11704764527678325,0.8829523547232168,-0.0946833772000616
Argentina,1989,0.05291548933984074,0.9470845106601593,-0.1745923158297903
Argentina,1990,0.007967032967032966,0.9920329670329671,-0.6148049509596347
Argentina,1992,0.0,1.0,-1.258357295995485
Argentina,1993,0.0,1.0,-1.258357295995485
Argentina,1994,0.0,1.0,-1.258357295995485
Argentina,1995,0.0,1.0,-1.258357295995485
Argentina,1996,0.0,1.0,-1.258357295995485
Argentina,1997,0.0,1.0,-1.258357295995485
Argentina,1998,0.0,1.0,-1.258357295995485
Argentina,1999,0.0,1.0,-1.258357295995485
Argentina,2000,0.0,1.0,-1.258357295995485
Argentina,2001,0.0,1.0,-1.231245334674684
Australia,1968,0.5450000056014185,0.4549999943985815,-0.5941142436358657
Australia,1969,0.5329996968123768,0.46700030318762314,-0.5941142436358657
Australia,1970,0.503000016399767,0.49699998360023295,-0.6718827642665838
Australia,1974,0.27415210688591984,0.7258478931140802,-0.6718827642665838
Australia,1975,0.27753752225896716,0.7224624777410328,-0.6718827642665838
Australia,1976,0.2660066855232708,0.7339933144767292,-0.6718827642665838
Australia,1977,0.23753066230580538,0.7624693376941946,-0.6718827642665838
Australia,1978,0.2205107951553449,0.7794892048446551,-0.6718827642665838
Australia,1979,0.22979300147856085,0.7702069985214391,-0.6718827642665838
Australia,1980,0.21867058980874682,0.7813294101912531,-0.6718827642665838
Australia,1981,0.2154551407989522,0.7845448592010478,-0.6718827642665838
Australia,1982,0.12651075184429447,0.8734892481557055,-0.6718827642665838
Australia,1983,0.0,1.0,-0.8045886802052402
Australia,1984,0.0,1.0,-0.8045886802052402
Australia,1985,0.0,1.0,-0.8045886802052402
Australia,1986,0.0,1.0,-0.8045886802052402
Australia,1987,0.0,1.0,-1.0728544027479006
Australia,1988,0.0,1.0,-1.0728544027479006
Australia,1989,0.0,1.0,-1.0728544027479006
Australia,1990,0.0,1.0,-1.0728544027479006
Australia,1992,0.0,1.0,-1.3268506719638236
Australia,1993,0.0,1.0,-1.3268506719638236
Australia,1994,0.0,1.0,-1.3268506719638236
Australia,1995,0.0,1.0,-1.3268506719638236
Australia,1996,0.0,1.0,-1.3268506719638236
Australia,1997,0.0,1.0,-1.3268506719638236
Australia,1998,0.0,1.0,-1.3268506719638236
Australia,1999,0.0,1.0,-1.3268506719638236
Australia,2000,0.0,1.0,-1.3268506719638236
Australia,2001,0.0,1.0,-1.3268506719638236
Austria,1960,0.3129939930445779,0.687006006955422,0.4839429551991341
Austria,1961,0.27779568159845314,0.7222043184015469,0.4839429551991341
Austria,1962,0.2741663859885483,0.7258336140114516,0.4839429551991341
Austria,1963,0.2539844014920312,0.7460155985079688,0.4839429551991341
Austria,1964,0.2579837194740138,0.7420162805259862,0.4839429551991341
Austria,1965,0.2607885749767153,0.7392114250232847,0.4839429551991341
Austria,1966,0.2621359223300971,0.7378640776699029,0.4839429551991341
Austria,1967,0.19980152166721799,0.800198478332782,0.4839429551991341
Austria,1968,0.17796365734064032,0.8220363426593597,0.4839429551991341
Austria,1969,0.18441161487519103,0.8155883851248089,0.4839429551991341
Austria,1970,0.1625398381956362,0.8374601618043638,0.4839429551991341
Austria,1971,0.16414141414141414,0.8358585858585859,0.4839429551991341
Austria,1972,0.1538083538083538,0.8461916461916462,0.4839429551991341
Austria,1973,0.15974516281264747,0.8402548371873525,0.4839429551991341
Austria,1974,0.14829787234042552,0.8517021276595744,0.4839429551991341
Austria,1975,0.07351856405212688,0.9264814359478731,0.4839429551991341
Austria,1976,0.06231851686397141,0.9376814831360286,0.4839429551991341
Austria,1977,0.03763440860215054,0.9623655913978495,0.4839429551991341
Austria,1978,0.043137254901960784,0.9568627450980393,0.4839429551991341
Austria,1979,0.03294691885295912,0.9670530811470409,0.4839429551991341
Austria,1980,0.030060553633217992,0.969939446366782,0.4839429551991341
Austria,1981,0.026847079037800686,0.9731529209621993,0.4839429551991341
Austria,1982,0.022780648191639268,0.9772193518083607,0.4839429551991341
Austria,1983,0.0,1.0,0.4839429551991341
Austria,1984,0.0,1.0,0.4839429551991341
Austria,1985,0.0,1.0,0.4839429551991341
Austria,1986,0.0,1.0,0.0344551754069104
Austria,1987,0.0,1.0,0.0344551754069104
Austria,1988,0.0,1.0,0.0344551754069104
Austria,1989,0.0,1.0,0.0344551754069104
Austria,1990,0.0,1.0,0.0344551754069104
Austria,1992,0.0,1.0,-0.1888617691565275
Austria,1993,0.0,1.0,-0.1888617691565275
Austria,1994,0.0,1.0,-0.1888617691565275
Austria,1995,0.0,1.0,-0.3244215757605315
Austria,1996,0.0,1.0,-0.5463115749912959
Austria,1997,0.0,1.0,-0.5463115749912959
Austria,1998,0.0,1.0,-0.6319282949517194
Austria,1999,0.0,1.0,-0.6319282949517194
Austria,2000,0.0,1.0,-0.7831845002151344
Austria,2001,0.0,1.0,-0.7831845002151344
Azerbaijan,1992,1.0,0.0,0.2456430846426218
Azerbaijan,1993,1.0,0.0,0.2456430846426218
Azerbaijan,1994,0.925,0.075,0.4468423765496171
Azerbaijan,1995,0.95,0.05,0.4468423765496171
Azerbaijan,1996,0.9,0.1,0.4468423765496171
Azerbaijan,1997,0.88,0.12,0.3640795472545411
Azerbaijan,1998,0.8888888888888888,0.1111111111111111,0.3640795472545411
Bangladesh,1971,1.0,0.0,0.2171041779891473
Bangladesh,1972,1.0,0.0,0.2171041779891473
Bangladesh,1973,1.0,0.0,0.2171041779891473
Bangladesh,1974,1.0,0.0,0.2171041779891473
Bangladesh,1975,1.0,0.0,0.2171041779891473
Bangladesh,1976,1.0,0.0,0.2171041779891473
Bangladesh,1977,1.0,0.0,0.1008081333762387
Bangladesh,1978,1.0,0.0,0.1008081333762387
Bangladesh,1979,1.0,0.0,0.1008081333762387
Bangladesh,1980,1.0,0.0,0.1008081333762387
Bangladesh,1981,1.0,0.0,0.1008081333762387
Bangladesh,1982,1.0,0.0,0.1008081333762387
Bangladesh,1983,1.0,0.0,0.1008081333762387
Bangladesh,1984,1.0,0.0,0.1008081333762387
Bangladesh,1985,1.0,0.0,0.1008081333762387
Bangladesh,1986,1.0,0.0,0.1008081333762387
Bangladesh,1987,1.0,0.0,0.1008081333762387
Bangladesh,1988,1.0,0.0,0.1008081333762387
Bangladesh,1989,1.0,0.0,0.1008081333762387
Bangladesh,1990,1.0,0.0,0.1008081333762387
Bangladesh,1992,1.0,0.0,-0.2609225084565507
Bangladesh,1993,1.0,0.0,-0.2609225084565507
Bangladesh,1994,1.0,0.0,-0.2609225084565507
Bangladesh,1995,1.0,0.0,-0.2609225084565507
Bangladesh,1996,1.0,0.0,-0.2609225084565507
Bangladesh,1997,1.0,0.0,-0.2609225084565507
Bangladesh,1998,1.0,0.0,-0.2609225084565507
Belgium,1960,0.08510934670566932,0.06142916840785625,-0.7510782302299757
Belgium,1961,0.077,0.06585714285714285,-0.7510782302299757
Belgium,1962,0.06904534931227019,0.059376276726133735,-0.7510782302299757
Belgium,1963,0.06741573033707865,0.03925815622038717,-0.7510782302299757
Belgium,1964,0.05123796423658872,0.1203576341127923,-0.7510782302299757
Belgium,1965,0.04223968565815324,0.20301244269810084,-0.7510782302299757
Belgium,1966,0.028055212658511953,0.2687689372685445,-0.7510782302299757
Belgium,1967,0.022242817423540315,0.31263515600865,-0.7510782302299757
Belgium,1968,0.016597510373443983,0.4187413554633472,-0.7510782302299757
Belgium,1969,0.021508728179551122,0.48324501246882795,-0.7510782302299757
Belgium,1970,0.022211645248294463,0.5617166428684753,-0.7510782302299757
Belgium,1971,0.019045323047251688,0.6347637415621986,-0.7510782302299757
Belgium,1972,0.0224748810153358,0.9775251189846642,-0.7510782302299757
Belgium,1973,0.02037325038880249,0.9796267496111976,-0.7510782302299757
Belgium,1974,0.016798846431146357,0.9832011535688536,-0.7510782302299757
Belgium,1975,0.012518168520790525,0.9159698240246931,-0.7510782302299757
Belgium,1976,0.009397805004319693,0.9707523969244664,-0.7510782302299757
Belgium,1977,0.0030853314527503526,0.9969146685472496,-0.7510782302299757
Belgium,1978,0.0,1.0,-0.7510782302299757
Belgium,1979,0.0,1.0,-0.7510782302299757
Belgium,1980,0.0,1.0,-1.0022206087805512
Belgium,1981,0.0,1.0,-1.0022206087805512
Belgium,1982,0.0,1.0,-1.0022206087805512
Belgium,1983,0.0,1.0,-1.0022206087805512
Belgium,1984,0.0,1.0,-1.0022206087805512
Belgium,1985,0.0,1.0,-1.0022206087805512
Belgium,1986,0.0,1.0,-1.0022206087805512
Belgium,1987,0.0,1.0,-0.9187443068191384
Belgium,1988,0.0,1.0,-0.9187443068191384
Belgium,1989,0.0,1.0,-0.9187443068191384
Belgium,1990,0.0,1.0,-0.9187443068191384
Belgium,1992,0.0,1.0,-0.9187443068191384
Belgium,1993,0.0,1.0,-0.9187443068191384
Belgium,1994,0.0,1.0,-0.9187443068191384
Belgium,1995,0.0,1.0,-0.9187443068191384
Belgium,1996,0.0,1.0,-0.9187443068191384
Belgium,1997,0.0,1.0,-0.9187443068191384
Belgium,1998,0.0,1.0,-0.9187443068191384
Belgium,1999,0.0,1.0,-0.9187443068191384
Belgium,2000,0.0,1.0,-0.9187443068191384
Belgium,2001,0.0,1.0,-0.9187443068191384
Bosnia and Herzegovina,1992,0.35,0.65,1.7211045586272544
Bosnia and Herzegovina,1996,0.8076923076923077,0.19230769230769232,0.4118822158991109
Bosnia and Herzegovina,1997,0.8055555555555556,0.19444444444444445,0.7778936937299216
Bosnia and Herzegovina,1998,0.7466666666666667,0.25333333333333335,0.4040340165694054
Bosnia and Herzegovina,1999,0.6666666666666666,0.3333333333333333,0.4040340165694054
Bosnia and Herzegovina,2000,0.6883116883116883,0.3116883116883117,0.0808308987188065
Bosnia and Herzegovina,2001,0.7058823529411765,0.29411764705882354,-0.1667441165000848
Brazil,1970,0.42448749294715066,0.5755125070528494,0.067988390724743
Brazil,1971,0.41012658227848103,0.589873417721519,0.067988390724743
Brazil,1972,0.3839105451157012,0.6160894548842988,0.067988390724743
Brazil,1973,0.35910364145658263,0.6408963585434174,0.067988390724743
Brazil,1974,0.3338229403124583,0.6661770596875417,0.067988390724743
Brazil,1975,0.31629084770288196,0.683709152297118,0.067988390724743
Brazil,1976,0.27169398907103826,0.7283060109289617,0.067988390724743
Brazil,1977,0.1954961421137628,0.8045038578862372,0.067988390724743
Brazil,1978,0.13296948647978168,0.8670305135202183,0.067988390724743
Brazil,1979,0.11797347938887287,0.8820265206111271,0.067988390724743
Brazil,1980,0.09040506163981475,0.9095949383601852,0.067988390724743
Brazil,1981,0.07346043274322893,0.9265395672567711,0.067988390724743
Brazil,1982,0.07431079624210689,0.9256892037578931,0.067988390724743
Brazil,1983,0.05514504652435687,0.9448549534756431,0.067988390724743
Brazil,1984,0.043892091808985095,0.9561079081910149,0.067988390724743
Brazil,1985,0.03678896823442502,0.963211031765575,0.067988390724743
Brazil,1986,0.024488633667125434,0.9755113663328746,0.067988390724743
Brazil,1987,0.016606924089114752,0.9833930759108852,0.067988390724743
Brazil,1988,0.00808080808080808,0.9919191919191919,0.067988390724743
Brazil,1989,4.098360655737705e-05,0.9999590163934426,0.067988390724743
Brazil,1990,0.0,1.0,-0.0597232165495554
Brazil,1992,0.0,1.0,-0.5941142436358657
Brazil,1993,0.0,1.0,-0.5941142436358657
Brazil,1994,0.0,1.0,-0.7382357222359119
Brazil,1995,0.0,1.0,-0.628360931620035
Brazil,1996,0.0,1.0,-0.628360931620035
Brazil,1997,0.0,1.0,-0.628360931620035
Brazil,1998,0.0,1.0,-0.628360931620035
Brazil,1999,0.0,1.0,-0.628360931620035
Brazil,2000,0.0,1.0,-0.628360931620035
Brazil,2001,0.0,1.0,-0.628360931620035
Bulgaria,1970,0.2612562534741523,0.7387437465258477,2.8890593134206988
Bulgaria,1971,0.2561601642710472,0.7438398357289527,2.8890593134206988
