group,n,press,ext,lat,mgr,cond,projects
软约束且达到中间级以上,11,0.73,0.18,1.45,0.27,0.09,福州船政局、官营八幡制铁所、官设铁道机车制造、横须贺海军工厂、琵琶湖疏水、昌原重型机械（现代洋行→韩国重工业）、印度斯坦机床（HMT）、巴西航空工业（Embraer）、国家钢铁公司（沃尔塔雷东达）、第一汽车制造厂、印度斯坦航空HF-24
软约束且停在基础级以下,7,0.43,0.0,2.14,0.0,0.0,江南制造局、汉阳铁厂、尼罗河三角洲拦河坝、穆罕默德·阿里官营纺织厂、印度斯坦钢铁（比莱）、印度斯坦汽车（大使牌）、信息产业市场保留（Cobra等）
